"Vaccinenavn","Regionsnavn","Antal første vacc.","Antal faerdigvacc."
AstraZeneca Covid-19 vaccine,Nordjylland,16866,0
AstraZeneca Covid-19 vaccine,Midtjylland,33547,0
AstraZeneca Covid-19 vaccine,Syddanmark,30420,246
AstraZeneca Covid-19 vaccine,Hovedstaden,45101,6
AstraZeneca Covid-19 vaccine,Sjælland,23863,331
Moderna Covid-19 Vaccine,Nordjylland,4302,3134
Moderna Covid-19 Vaccine,Midtjylland,7916,1819
Moderna Covid-19 Vaccine,Syddanmark,8476,4137
Moderna Covid-19 Vaccine,Hovedstaden,11025,2104
Moderna Covid-19 Vaccine,Sjælland,4908,1064
Pfizer BioNTech Covid-19 vacc,Nordjylland,46697,31072
Pfizer BioNTech Covid-19 vacc,Midtjylland,101117,70255
Pfizer BioNTech Covid-19 vacc,Syddanmark,99684,61102
Pfizer BioNTech Covid-19 vacc,Hovedstaden,138235,93714
Pfizer BioNTech Covid-19 vacc,Sjælland,64507,47084
