Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  40.894 (49);  43.297 (51);  84.191
10-19;  66.075 (50);  65.451 (50); 131.526
20-29;  72.559 (50);  72.440 (50); 144.999
30-39;  56.394 (51);  53.322 (49); 109.716
40-49;  58.862 (52);  54.500 (48); 113.362
50-59;  46.743 (50);  47.657 (50);  94.400
60-69;  24.309 (49);  25.656 (51);  49.965
70-79;  14.000 (50);  14.145 (50);  28.145
80-89;   5.923 (55);   4.821 (45);  10.744
90+;   1.869 (69);     849 (31);   2.718
I alt; 387.628 (50); 382.138 (50); 769.766
