Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     192 (51);     183 (49);     375
10-19;     366 (55);     297 (45);     663
20-29;   1.138 (61);     724 (39);   1.862
30-39;   1.133 (60);     764 (40);   1.897
40-49;   1.337 (60);     906 (40);   2.243
50-59;   1.381 (59);     945 (41);   2.326
60-69;     734 (50);     735 (50);   1.469
70-79;     502 (46);     597 (54);   1.099
80-89;     480 (57);     359 (43);     839
90+;     191 (72);      73 (28);     264
I alt;   7.454 (57);   5.583 (43);  13.037
