Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.254.161;  57.541;   3.121;     532
Sjælland; 485.628;  14.440;   1.019;     154
Syddanmark; 699.470;  14.405;     683;      70
Midtjylland; 801.851;  21.343;     986;     139
Nordjylland; 413.113;   7.224;     369;      65
I alt i Danmark;3.654.223; 114.953;   6.178;     960
