Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     190 (51);     181 (49);     371
10-19;     356 (55);     292 (45);     648
20-29;   1.119 (61);     706 (39);   1.825
30-39;   1.124 (60);     753 (40);   1.877
40-49;   1.330 (60);     900 (40);   2.230
50-59;   1.372 (59);     938 (41);   2.310
60-69;     728 (50);     732 (50);   1.460
70-79;     500 (46);     594 (54);   1.094
80-89;     480 (57);     358 (43);     838
90+;     190 (72);      73 (28);     263
I alt;   7.389 (57);   5.527 (43);  12.916
