Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  55.426 (49);  58.783 (51); 114.209
10-19;  91.087 (50);  89.715 (50); 180.802
20-29;  99.625 (50);  98.788 (50); 198.413
30-39;  77.024 (51);  72.979 (49); 150.003
40-49;  76.733 (52);  70.267 (48); 147.000
50-59;  59.985 (50);  60.341 (50); 120.326
60-69;  30.435 (49);  31.855 (51);  62.290
70-79;  17.127 (50);  17.270 (50);  34.397
80-89;   7.311 (55);   5.886 (45);  13.197
90+;   2.259 (68);   1.042 (32);   3.301
I alt; 517.012 (50); 506.926 (50);1.023.938
