Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.170.605;  39.204;   2.512;     469
Sjælland; 451.614;   9.774;     862;     145
Syddanmark; 656.170;  10.846;     583;      57
Midtjylland; 745.913;  15.328;     800;     113
Nordjylland; 399.496;   5.842;     344;      62
I alt i Danmark;3.423.798;  80.994;   5.101;     846
