"Regionsnavn","Antal første vacc. personer","Antal faerdigvacc. personer","Antal borgere"
Nordjylland,269284,158151,590273
Midtjylland,595533,331009,1335037
Syddanmark,567319,317963,1224762
Hovedstaden,862420,464338,1857393
Sjælland,431003,230327,840979
