"Kommunenavn","Antal første vacc. personer","Antal faerdigvacc. personer","Antal borgere"
København,233585,118565,638965
Frederiksberg,47470,26210,103024
Ballerup,24632,13342,49041
Brøndby,16648,9332,35450
Dragør,8430,4574,14582
Gentofte,40546,21093,74270
Gladsaxe,32550,17248,68910
Glostrup,11292,6202,23500
Herlev,13983,7878,28812
Albertslund,12510,6880,27143
Hvidovre,25218,13702,53269
Høje-Taastrup,23793,12853,52393
Lyngby-Taarbæk,29221,15483,57073
Rødovre,19290,10522,41210
Ishøj,9797,5371,23065
Tårnby,21710,11384,42695
Vallensbæk,7865,4346,16571
Furesø,22004,11937,41149
Allerød,14447,7417,25931
Fredensborg,21894,12645,41026
Helsingør,33779,20371,63128
Hillerød,27596,14888,51977
Hørsholm,14737,8611,24802
Rudersdal,31356,16922,57111
Egedal,23492,11620,44061
Frederikssund,26410,14833,45756
Greve,23745,12895,50683
Køge,29503,15194,61614
Frederiksværk-Hundested,18184,11239,31473
Roskilde,43301,22292,88890
Solrød,11006,5689,23467
Gribskov,24379,14568,41212
Odsherred,19395,11313,32947
Holbæk,38222,19610,72346
Faxe,18106,9588,36934
Kalundborg,25448,13648,48395
Ringsted,15689,7754,35034
Slagelse,41221,22384,79522
Stevns,11775,6509,23274
Sorø,15865,8306,29938
Lejre,14861,7838,28444
Lolland,22633,12317,40333
Næstved,41299,22321,83439
Guldborgsund,34428,18931,60429
Vordingborg,24506,13738,45290
Bornholm,25602,14302,39794
Middelfart,19268,11243,39402
Assens,20205,11679,40839
Faaborg-Midtfyn,25489,15111,51723
Kerteminde,12168,7195,23868
Nyborg,15279,9146,32047
Odense,83860,51264,204899
Svendborg,29287,18119,58867
Nordfyns,14424,8406,29578
Langeland,7100,4499,12351
Ærø,3581,2255,6004
Haderslev,24675,13059,55423
Billund,12064,6521,26551
Sønderborg,37951,18307,73735
Tønder,17230,8820,37008
Esbjerg,58308,30411,115515
Fanø,2182,1295,3448
Varde,26104,13601,49713
Vejen,18619,10308,42812
Aabenraa,28390,13552,58553
Fredericia,22816,13338,51457
Horsens,39220,21604,93027
Kolding,38266,21442,93051
Vejle,50053,28392,117918
Herning,40275,22793,89350
Holstebro,27132,15557,58626
Lemvig,10590,5943,19517
Struer,11103,6360,20821
Syddjurs,22385,12541,43457
Norddjurs,18885,11093,36987
Favrskov,22232,11703,48612
Odder,11800,6469,23043
Randers,43974,24675,98474
Silkeborg,43860,24216,96272
Samsø,2329,1470,3695
Skanderborg,29308,14789,63742
Århus,134777,73934,352507
Ikast-Brande,18949,10452,41724
Ringkøbing-Skjern,28236,15272,56296
Hedensted,21907,12069,46953
Morsø,10341,6008,20080
Skive,23234,13533,45278
Thisted,21855,12450,43116
Viborg,45337,26536,96656
Brønderslev-Dronninglund,16540,9448,36092
Frederikshavn,31461,18322,58972
Vesthimmerlands,18345,10761,36370
Læsø,1411,836,1778
Rebild,13498,7620,30535
Mariagerfjord,20671,11593,41515
Jammerbugt,17890,10182,38199
Ålborg,86632,51939,219561
Hjørring,30640,18992,64055
