Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     625 (49);     642 (51);   1.267
10-19;   1.801 (50);   1.819 (50);   3.620
20-29;   3.041 (52);   2.756 (48);   5.797
30-39;   2.233 (53);   1.979 (47);   4.212
40-49;   2.598 (55);   2.110 (45);   4.708
50-59;   2.496 (54);   2.168 (46);   4.664
60-69;   1.268 (48);   1.372 (52);   2.640
70-79;     821 (47);     933 (53);   1.754
80-89;     607 (57);     462 (43);   1.069
90+;     233 (71);      93 (29);     326
I alt;  15.723 (52);  14.334 (48);  30.057
