Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     471 (49);     491 (51);     962
10-19;   1.303 (50);   1.317 (50);   2.620
20-29;   2.499 (54);   2.162 (46);   4.661
30-39;   1.921 (54);   1.643 (46);   3.564
40-49;   2.215 (56);   1.747 (44);   3.962
50-59;   2.168 (54);   1.817 (46);   3.985
60-69;   1.109 (48);   1.192 (52);   2.301
70-79;     717 (46);     844 (54);   1.561
80-89;     563 (57);     431 (43);     994
90+;     221 (72);      85 (28);     306
I alt;  13.187 (53);  11.729 (47);  24.916
