"Regionsnavn";"Antal første vacc. personer";"Antal faerdigvacc. personer";"Antal borgere"
Nordjylland;465093;457379;592011
Midtjylland;1042262;1024115;1341203
Syddanmark;952113;935391;1227774
Hovedstaden;1399290;1369959;1867433
Sjælland;650164;639135;843050
