"Regionsnavn";"Aldersgruppe";"sex";"Antal første vacc.";"Antal faerdigvacc."
Hovedstaden;0-9;K;8;0
Hovedstaden;0-9;M;4;1
Hovedstaden;10-19;K;63878;60741
Hovedstaden;10-19;M;65764;62247
Hovedstaden;20-29;K;115561;111507
Hovedstaden;20-29;M;109542;105083
Hovedstaden;30-39;K;105203;101149
Hovedstaden;30-39;M;103679;100523
Hovedstaden;40-49;K;110388;108571
Hovedstaden;40-49;M;107262;105632
Hovedstaden;50-59;K;112223;111227
Hovedstaden;50-59;M;111232;110268
Hovedstaden;60-69;K;88662;88249
Hovedstaden;60-69;M;84124;83695
Hovedstaden;70-79;K;82273;82039
Hovedstaden;70-79;M;68588;68409
Hovedstaden;80-89;K;36435;36312
Hovedstaden;80-89;M;24037;23963
Hovedstaden;90+;K;7690;7622
Hovedstaden;90+;M;2737;2721
Midtjylland;0-9;K;3;1
Midtjylland;0-9;M;4;0
Midtjylland;10-19;K;55018;52771
Midtjylland;10-19;M;56366;53801
Midtjylland;20-29;K;75457;72987
Midtjylland;20-29;M;77317;74283
Midtjylland;30-39;K;64675;62412
Midtjylland;30-39;M;65995;64005
Midtjylland;40-49;K;76618;75768
Midtjylland;40-49;M;75512;74542
Midtjylland;50-59;K;83857;83370
Midtjylland;50-59;M;84231;83741
Midtjylland;60-69;K;74207;73972
Midtjylland;60-69;M;72740;72531
Midtjylland;70-79;K;63986;63905
Midtjylland;70-79;M;59267;59177
Midtjylland;80-89;K;27860;27784
Midtjylland;80-89;M;21105;21060
Midtjylland;90+;K;5619;5589
Midtjylland;90+;M;2425;2416
Nordjylland;0-9;K;2;0
Nordjylland;0-9;M;0;0
Nordjylland;10-19;K;22718;21799
Nordjylland;10-19;M;23908;22836
Nordjylland;20-29;K;29580;28523
Nordjylland;20-29;M;33373;32030
Nordjylland;30-39;K;26330;25437
Nordjylland;30-39;M;27267;26392
Nordjylland;40-49;K;31883;31551
Nordjylland;40-49;M;31900;31520
Nordjylland;50-59;K;38139;37921
Nordjylland;50-59;M;38513;38282
Nordjylland;60-69;K;35713;35594
Nordjylland;60-69;M;35180;35075
Nordjylland;70-79;K;31703;31660
Nordjylland;70-79;M;29855;29810
Nordjylland;80-89;K;14130;14100
Nordjylland;80-89;M;10799;10771
Nordjylland;90+;K;2833;2819
Nordjylland;90+;M;1267;1259
Sjælland;0-9;K;1;1
Sjælland;0-9;M;2;1
Sjælland;10-19;K;32847;31457
Sjælland;10-19;M;34678;33089
Sjælland;20-29;K;28125;26933
Sjælland;20-29;M;30923;29590
Sjælland;30-39;K;35045;33630
Sjælland;30-39;M;33997;32766
Sjælland;40-49;K;49577;48916
Sjælland;40-49;M;47285;46582
Sjælland;50-59;K;59396;58958
Sjælland;50-59;M;59487;59117
Sjælland;60-69;K;52650;52440
Sjælland;60-69;M;51166;50974
Sjælland;70-79;K;49459;49360
Sjælland;70-79;M;45050;44962
Sjælland;80-89;K;20081;20014
Sjælland;80-89;M;15187;15162
Sjælland;90+;K;3680;3663
Sjælland;90+;M;1528;1520
Syddanmark;0-9;K;4;2
Syddanmark;0-9;M;3;1
Syddanmark;10-19;K;49323;47326
Syddanmark;10-19;M;50677;48351
Syddanmark;20-29;K;53360;51211
Syddanmark;20-29;M;57609;55204
Syddanmark;30-39;K;53891;51771
Syddanmark;30-39;M;54317;52468
Syddanmark;40-49;K;69851;68933
Syddanmark;40-49;M;67876;66850
Syddanmark;50-59;K;81214;80700
Syddanmark;50-59;M;81902;81332
Syddanmark;60-69;K;73323;73084
Syddanmark;60-69;M;72366;72140
Syddanmark;70-79;K;65293;65189
Syddanmark;70-79;M;60269;60148
Syddanmark;80-89;K;29941;29878
Syddanmark;80-89;M;22366;22326
Syddanmark;90+;K;6011;5967
Syddanmark;90+;M;2517;2510
