"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-9;K;18;4;297705;0.0;0.0
0-9;M;13;3;314326;0.0;0.0
10-19;K;223784;214094;342662;65.3;62.5
10-19;M;231393;220324;358276;64.6;61.5
20-29;K;302083;291161;381323;79.2;76.4
20-29;M;308764;296190;397894;77.6;74.4
30-39;K;285144;274399;350405;81.4;78.3
30-39;M;285255;276154;362405;78.7;76.2
40-49;K;338317;333739;374599;90.3;89.1
40-49;M;329835;325126;375293;87.9;86.6
50-59;K;374829;372176;401578;93.3;92.7
50-59;M;375365;372740;404982;92.7;92.0
60-69;K;324555;323339;339689;95.5;95.2
60-69;M;315576;314415;330478;95.5;95.1
70-79;K;292714;292153;301576;97.1;96.9
70-79;M;263029;262506;270778;97.1;96.9
80-89;K;128447;128088;132917;96.6;96.4
80-89;M;93494;93282;96273;97.1;96.9
90+;K;25833;25660;27382;94.3;93.7
90+;M;10474;10426;10930;95.8;95.4
