"dato";"Regionsnavn";"sex";"Paabegyndt vacc. idag";"Faerdigvacc. idag";"Revacc. 1 idag";"Paabegyndt vacc. igaar";"Faerdigvacc. igaar";"Revacc. 1 igaar";"Paabegyndt vacc. difference";"Faerdigvaccineret difference";"Revacc. 1 difference"
2021-11-12;Hovedstaden;K;722321;707417;80820;721684;707045;77903;637;372;2917
2021-11-12;Hovedstaden;M;676969;662542;54061;676359;662243;52161;610;299;1900
2021-11-12;Midtjylland;K;527300;518559;65298;526704;518340;62997;596;219;2301
2021-11-12;Midtjylland;M;514962;505556;41023;514412;505353;39572;550;203;1451
2021-11-12;Nordjylland;K;233031;229404;27652;232882;229337;26910;149;67;742
2021-11-12;Nordjylland;M;232062;227975;16639;231919;227904;16151;143;71;488
2021-11-12;Sjælland;K;330861;325372;42115;330535;325258;40439;326;114;1676
2021-11-12;Sjælland;M;319303;313763;28036;319022;313694;26622;281;69;1414
2021-11-12;Syddanmark;K;482211;474061;56961;481702;473899;55006;509;162;1955
2021-11-12;Syddanmark;M;469902;461330;37503;469379;461169;36167;523;161;1336
