"Vaccinenavn";"Regionsnavn";"Antal første vacc.";"Antal faerdigvacc."
AstraZeneca Covid-19 vaccine;Nordjylland;16984;58
AstraZeneca Covid-19 vaccine;Midtjylland;33919;148
AstraZeneca Covid-19 vaccine;Syddanmark;30729;405
AstraZeneca Covid-19 vaccine;Hovedstaden;46046;784
AstraZeneca Covid-19 vaccine;Sjælland;23971;433
Janssen COVID-19 vaccine;Nordjylland;3640;3640
Janssen COVID-19 vaccine;Midtjylland;9835;9835
Janssen COVID-19 vaccine;Syddanmark;7515;7515
Janssen COVID-19 vaccine;Hovedstaden;22530;22530
Janssen COVID-19 vaccine;Sjælland;2824;2824
Moderna Covid-19 Vaccine;Nordjylland;70375;69100
Moderna Covid-19 Vaccine;Midtjylland;123409;120383
Moderna Covid-19 Vaccine;Syddanmark;132226;157892
Moderna Covid-19 Vaccine;Hovedstaden;149378;145045
Moderna Covid-19 Vaccine;Sjælland;82944;103055
Pfizer BioNTech Covid-19 vacc;Nordjylland;374094;384581
Pfizer BioNTech Covid-19 vacc;Midtjylland;875099;893749
Pfizer BioNTech Covid-19 vacc;Syddanmark;781643;769579
Pfizer BioNTech Covid-19 vacc;Hovedstaden;1181336;1201600
Pfizer BioNTech Covid-19 vacc;Sjælland;540425;532823
