"Kommunenavn";"Antal første vacc.";"Antal faerdigvacc.";"Antal 1. revacc.";"Vacc.dækning foerste vacc. (%)";"Vacc.dækning faerdigvacc. (%)";"Vacc.dækning 1. revacc. (%)";"Antal borgere"
København;474643;462768;35640;73.6;71.8;5.5;644512
Frederiksberg;81619;80038;7677;78.6;77.0;7.4;103888
Ballerup;36445;35717;3898;74.1;72.6;7.9;49209
Brøndby;24142;23529;2646;68.0;66.2;7.4;35529
Dragør;11335;11139;1272;77.6;76.2;8.7;14609
Gentofte;57505;56460;6277;77.5;76.1;8.5;74225
Gladsaxe;51391;50400;5228;74.2;72.8;7.5;69247
Glostrup;17131;16777;2092;73.0;71.4;8.9;23481
Herlev;21085;20639;2431;73.1;71.5;8.4;28861
Albertslund;19043;18445;2011;69.3;67.1;7.3;27479
Hvidovre;38492;37655;3804;72.2;70.7;7.1;53283
Høje Tåstrup;36542;35609;3950;69.2;67.4;7.5;52804
Lyngby-Taarbæk;44880;44094;4759;77.6;76.2;8.2;57843
Rødovre;29768;29121;3122;72.1;70.5;7.6;41299
Ishøj;15007;14521;1405;64.8;62.7;6.1;23175
Tårnby;31745;31145;2868;74.4;73.0;6.7;42674
Vallensbæk;11652;11344;1501;70.5;68.6;9.1;16531
Furesø;31477;30989;3806;76.1;74.9;9.2;41377
Allerød;20352;20132;2204;78.7;77.8;8.5;25874
Fredensborg;31210;30691;3303;75.9;74.6;8.0;41139
Helsingør;48528;47665;4812;77.0;75.6;7.6;63022
Hillerød;40902;40252;4597;77.1;75.9;8.7;53066
Hørsholm;19872;19598;2653;80.2;79.1;10.7;24785
Rudersdal;44937;44253;5262;78.4;77.2;9.2;57306
Egedal;34352;33800;3111;77.5;76.2;7.0;44341
Frederikssund;36280;35694;3983;79.3;78.0;8.7;45762
Greve;37852;37140;3608;74.6;73.2;7.1;50757
Køge;47197;46351;5166;76.5;75.1;8.4;61734
Halsnæs;24611;24190;3029;78.5;77.2;9.7;31342
Roskilde;69929;68813;7989;78.2;77.0;8.9;89406
Solrød;18041;17739;1883;76.1;74.9;7.9;23695
Gribskov;32218;31696;3599;78.4;77.2;8.8;41074
Odsherred;26278;25901;2902;79.9;78.7;8.8;32893
Holbæk;56663;55636;6432;77.9;76.5;8.8;72737
Faxe;28406;27932;2583;76.6;75.4;7.0;37063
Kalundborg;37426;36802;3791;77.2;76.0;7.8;48453
Ringsted;26103;25681;2050;74.3;73.1;5.8;35114
Slagelse;60631;59502;7155;76.1;74.7;9.0;79651
Stevns;18235;17981;1945;77.8;76.8;8.3;23425
Sorø;23389;23031;2454;78.0;76.8;8.2;29984
Lejre;22108;21755;2450;77.3;76.1;8.6;28605
Lolland;31021;30495;3604;77.2;75.9;9.0;40178
Næstved;64526;63419;7099;77.1;75.8;8.5;83672
Guldborgsund;46965;46150;5714;77.9;76.5;9.5;60301
Vordingborg;35394;34807;3326;78.0;76.7;7.3;45382
Bornholm;32126;31598;3941;80.9;79.6;9.9;39696
Middelfart;31446;31015;3612;79.5;78.4;9.1;39555
Assens;32669;32159;3014;79.8;78.6;7.4;40937
Faaborg-Midtfyn;41059;40401;4142;79.2;77.9;8.0;51834
Kerteminde;19211;18930;1882;80.0;78.9;7.8;24000
Nyborg;25620;25261;2274;79.9;78.8;7.1;32066
Odense;160976;157965;16237;78.1;76.6;7.9;206148
Svendborg;47074;46282;5779;79.6;78.2;9.8;59172
Nordfyn;23299;22911;2128;78.4;77.1;7.2;29715
Langeland;10044;9917;1000;81.5;80.4;8.1;12327
Ærø;5018;4968;328;83.3;82.5;5.4;6025
Haderslev;42502;41670;3828;76.8;75.3;6.9;55359
Billund;20526;20167;1861;77.1;75.8;7.0;26615
Sønderborg;57607;56681;5880;78.2;77.0;8.0;73641
Tønder;28094;27594;2408;76.2;74.9;6.5;36862
Esbjerg;88956;87393;8730;77.0;75.7;7.6;115473
Fanø;2815;2782;275;82.0;81.1;8.0;3432
Varde;38243;37609;3559;77.0;75.7;7.2;49657
Vejen;32130;31548;3075;75.3;73.9;7.2;42670
Aabenraa;44119;43300;3969;75.3;73.9;6.8;58618
Fredericia;39794;39172;4510;77.1;75.9;8.7;51593
Horsens;70659;69236;7089;75.0;73.5;7.5;94162
Kolding;70810;69407;6997;75.8;74.3;7.5;93450
Vejle;90101;88259;8976;76.0;74.4;7.6;118625
Herning;69037;67797;7593;77.4;76.0;8.5;89231
Holstebro;45715;44867;5087;78.1;76.6;8.7;58542
Lemvig;15585;15366;1628;80.4;79.3;8.4;19382
Struer;16676;16402;1785;80.2;78.9;8.6;20786
Syddjurs;34503;34075;3132;79.1;78.1;7.2;43647
Norddjurs;29324;28935;3025;79.3;78.2;8.2;36990
Favrskov;37873;37320;3403;77.6;76.5;7.0;48797
Odder;18637;18391;2210;80.1;79.1;9.5;23254
Randers;76786;75375;8463;77.7;76.2;8.6;98878
Silkeborg;74628;73375;7586;76.8;75.6;7.8;97117
Samsø;3102;3050;585;83.2;81.8;15.7;3727
Skanderborg;49290;48612;4487;76.8;75.8;7.0;64167
Århus;276641;271132;26634;77.8;76.3;7.5;355402
Ikast-Brande;31675;31105;3110;75.6;74.2;7.4;41914
