"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-9;K;15;3;297702;0.0;0.0
0-9;M;13;3;314326;0.0;0.0
10-19;K;211610;202087;330488;64.0;61.1
10-19;M;219860;209022;346743;63.4;60.3
20-29;K;303601;292716;382841;79.3;76.5
20-29;M;309891;297268;399021;77.7;74.5
30-39;K;283617;272758;348878;81.3;78.2
30-39;M;285209;276020;362359;78.7;76.2
40-49;K;332689;328091;368971;90.2;88.9
40-49;M;323869;319126;369327;87.7;86.4
50-59;K;374108;371437;400857;93.3;92.7
50-59;M;374970;372313;404587;92.7;92.0
60-69;K;326472;325236;341606;95.6;95.2
60-69;M;316736;315563;331638;95.5;95.2
70-79;K;296323;295742;305185;97.1;96.9
70-79;M;267760;267231;275509;97.2;97.0
80-89;K;136549;136189;141019;96.8;96.6
80-89;M;101797;101583;104576;97.3;97.1
90+;K;30740;30554;32289;95.2;94.6
90+;M;13093;13037;13549;96.6;96.2
