"Vaccinenavn";"Regionsnavn";"Antal første vacc.";"Antal faerdigvacc."
AstraZeneca Covid-19 vaccine;Nordjylland;17056;108
AstraZeneca Covid-19 vaccine;Midtjylland;34062;264
AstraZeneca Covid-19 vaccine;Syddanmark;30845;499
AstraZeneca Covid-19 vaccine;Hovedstaden;46554;1226
AstraZeneca Covid-19 vaccine;Sjælland;24047;477
Janssen COVID-19 vaccine;Nordjylland;3709;3709
Janssen COVID-19 vaccine;Midtjylland;9936;9936
Janssen COVID-19 vaccine;Syddanmark;7657;7657
Janssen COVID-19 vaccine;Hovedstaden;22884;22884
Janssen COVID-19 vaccine;Sjælland;2864;2864
Moderna Covid-19 Vaccine;Nordjylland;71509;70896
Moderna Covid-19 Vaccine;Midtjylland;127780;126637
Moderna Covid-19 Vaccine;Syddanmark;136353;163736
Moderna Covid-19 Vaccine;Hovedstaden;153471;151738
Moderna Covid-19 Vaccine;Sjælland;85390;106393
Pfizer BioNTech Covid-19 vacc;Nordjylland;407390;416281
Pfizer BioNTech Covid-19 vacc;Midtjylland;952201;968124
Pfizer BioNTech Covid-19 vacc;Syddanmark;849785;835956
Pfizer BioNTech Covid-19 vacc;Hovedstaden;1278591;1293843
Pfizer BioNTech Covid-19 vacc;Sjælland;583184;574023
