"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
00-02;K;7;2;90798;0.0;0.0
00-02;M;1;0;95838;0.0;0.0
03-05;K;7789;5385;91108;8.5;5.9
03-05;M;8456;5823;96313;8.8;6.0
06-11;K;89798;72360;178778;50.2;40.5
06-11;M;94794;76464;187959;50.4;40.7
12-15;K;106938;103564;132751;80.6;78.0
12-15;M;112841;109212;140293;80.4;77.8
16-19;K;121322;119808;134180;90.4;89.3
16-19;M;125204;123110;140424;89.2;87.7
20-39;K;624491;613001;734038;85.1;83.5
20-39;M;629678;616346;764434;82.4;80.6
40-64;K;884809;880081;945943;93.5;93.0
40-64;M;875383;870476;947442;92.4;91.9
65-79;K;457422;456615;470950;97.1;97.0
65-79;M;421661;420943;433591;97.2;97.1
80+;K;168625;168213;173707;97.1;96.8
80+;M;116049;115848;118720;97.8;97.6
