"dato";"Regionsnavn";"sex";"Paabegyndt vacc. idag";"Faerdigvacc. idag";"Revacc. 1 idag";"Paabegyndt vacc. igaar";"Faerdigvacc. igaar";"Revacc. 1 igaar";"Paabegyndt vacc. difference";"Faerdigvaccineret difference";"Revacc. 1 difference"
2022-02-18;Hovedstaden;K;773459;758041;571312;773453;757992;570899;6;49;413
2022-02-18;Hovedstaden;M;728041;711650;524490;728039;711596;524182;2;54;308
2022-02-18;Midtjylland;K;567459;558411;433244;567471;558365;432992;-12;46;252
2022-02-18;Midtjylland;M;556520;546550;412319;556536;546509;412104;-16;41;215
2022-02-18;Nordjylland;K;249917;245909;192829;249924;245887;192744;-7;22;85
2022-02-18;Nordjylland;M;249747;245085;185460;249753;245063;185346;-6;22;114
2022-02-18;Sjælland;K;352859;347167;272202;352874;347154;272099;-15;13;103
2022-02-18;Sjælland;M;342626;336590;255520;342617;336551;255429;9;39;91
2022-02-18;Syddanmark;K;517507;509501;396618;517509;509491;396464;-2;10;154
2022-02-18;Syddanmark;M;507133;498347;375759;507130;498318;375600;3;29;159
