"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
00-02;K;8;2;90799;0.0;0.0
00-02;M;1;0;95838;0.0;0.0
03-05;K;9267;6455;92586;10.0;7.0
03-05;M;10090;7015;97947;10.3;7.2
06-11;K;92070;74606;181050;50.9;41.2
06-11;M;97135;78836;190300;51.0;41.4
12-15;K;120043;116988;145856;82.3;80.2
12-15;M;126098;122728;153550;82.1;79.9
16-19;K;124443;122913;137301;90.6;89.5
16-19;M;127174;125005;142394;89.3;87.8
20-39;K;624117;612659;733664;85.1;83.5
20-39;M;628051;614830;762807;82.3;80.6
40-64;K;891465;886788;952599;93.6;93.1
40-64;M;882671;877852;954730;92.5;91.9
65-79;K;449389;448617;462917;97.1;96.9
65-79;M;412076;411380;424006;97.2;97.0
80+;K;150399;150001;155481;96.7;96.5
80+;M;100771;100576;103442;97.4;97.2
