"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-9;K;62947;48471;300713;20.9;16.1
0-9;M;67127;51726;317578;21.1;16.3
10-19;K;282884;272493;346879;81.6;78.6
10-19;M;293371;281858;362451;80.9;77.8
20-29;K;321907;315743;381792;84.3;82.7
20-29;M;327899;320180;398609;82.3;80.3
30-39;K;302210;296916;351872;85.9;84.4
30-39;M;300152;294650;364198;82.4;80.9
40-49;K;344990;342388;375013;92.0;91.3
40-49;M;337248;334537;376076;89.7;89.0
50-59;K;378324;376724;401604;94.2;93.8
50-59;M;379394;377784;405039;93.7;93.3
60-69;K;325634;324827;339172;96.0;95.8
60-69;M;316600;315770;329471;96.1;95.8
70-79;K;291906;291466;299727;97.4;97.2
70-79;M;261505;261141;268150;97.5;97.4
80-89;K;126231;125959;130034;97.1;96.9
80-89;M;91132;90968;93429;97.5;97.4
90+;K;24168;24042;25447;95.0;94.5
90+;M;9639;9608;10013;96.3;96.0
