Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9; 151.952 (49); 160.909 (51); 312.861
10-19; 231.111 (50); 231.050 (50); 462.161
20-29; 208.168 (52); 188.419 (48); 396.587
30-39; 205.272 (53); 179.910 (47); 385.182
40-49; 199.333 (53); 174.803 (47); 374.136
50-59; 150.628 (52); 140.162 (48); 290.790
60-69;  84.771 (51);  80.186 (49); 164.957
70-79;  44.241 (50);  44.775 (50);  89.016
80-89;  16.235 (54);  14.015 (46);  30.250
90+;   5.051 (69);   2.231 (31);   7.282
I alt;1.296.780 (52);1.216.484 (48);2.513.265
