Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;   1.234 (49);   1.279 (51);   2.513
10-19;   3.681 (49);   3.872 (51);   7.553
20-29;   5.157 (51);   4.937 (49);  10.094
30-39;   3.693 (51);   3.522 (49);   7.215
40-49;   4.183 (52);   3.807 (48);   7.990
50-59;   3.996 (52);   3.759 (48);   7.755
60-69;   1.969 (47);   2.180 (53);   4.149
70-79;   1.278 (48);   1.407 (52);   2.685
80-89;     780 (56);     614 (44);   1.394
90+;     291 (72);     114 (28);     405
I alt;  26.262 (51);  25.491 (49);  51.753
