"Vaccinenavn","Regionsnavn","Antal første vacc.","Antal faerdigvacc."
AstraZeneca Covid-19 vaccine,Nordjylland,16868,0
AstraZeneca Covid-19 vaccine,Midtjylland,33614,1
AstraZeneca Covid-19 vaccine,Syddanmark,30412,248
AstraZeneca Covid-19 vaccine,Hovedstaden,45119,10
AstraZeneca Covid-19 vaccine,Sjælland,23870,331
Moderna Covid-19 Vaccine,Nordjylland,4396,3849
Moderna Covid-19 Vaccine,Midtjylland,12886,3545
Moderna Covid-19 Vaccine,Syddanmark,13589,5325
Moderna Covid-19 Vaccine,Hovedstaden,19604,2288
Moderna Covid-19 Vaccine,Sjælland,9722,1692
Pfizer BioNTech Covid-19 vacc,Nordjylland,59901,38749
Pfizer BioNTech Covid-19 vacc,Midtjylland,128572,88000
Pfizer BioNTech Covid-19 vacc,Syddanmark,115156,84980
Pfizer BioNTech Covid-19 vacc,Hovedstaden,173525,123006
Pfizer BioNTech Covid-19 vacc,Sjælland,89869,55846
