"Regionsnavn","Antal første vacc. personer","Antal faerdigvacc. personer","Antal borgere"
Nordjylland,81165,42598,590455
Midtjylland,175072,91546,1333315
Syddanmark,159157,90553,1224067
Hovedstaden,238248,125304,1856091
Sjælland,123461,57869,839517
