Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  90.987 (49);  96.348 (51); 187.335
10-19; 140.130 (50); 139.170 (50); 279.300
20-29; 124.045 (51); 119.403 (49); 243.448
30-39; 113.699 (53); 102.607 (47); 216.306
40-49; 109.488 (53);  98.288 (47); 207.776
50-59;  77.466 (50);  76.413 (50); 153.879
60-69;  38.476 (50);  39.117 (50);  77.593
70-79;  20.144 (50);  20.448 (50);  40.592
80-89;   8.341 (55);   6.727 (45);  15.068
90+;   2.693 (69);   1.218 (31);   3.911
I alt; 725.484 (51); 699.760 (49);1.425.245
