Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     185 (51);     175 (49);     360
10-19;     349 (55);     290 (45);     639
20-29;   1.108 (62);     691 (38);   1.799
30-39;   1.112 (60);     737 (40);   1.849
40-49;   1.322 (60);     887 (40);   2.209
50-59;   1.359 (60);     923 (40);   2.282
60-69;     724 (50);     726 (50);   1.450
70-79;     497 (46);     587 (54);   1.084
80-89;     479 (57);     357 (43);     836
90+;     187 (72);      73 (28);     260
I alt;   7.322 (57);   5.446 (43);  12.768
