Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     290 (49);     300 (51);     590
10-19;     665 (52);     620 (48);   1.285
20-29;   1.562 (57);   1.188 (43);   2.750
30-39;   1.356 (55);   1.090 (45);   2.446
40-49;   1.577 (57);   1.170 (43);   2.747
50-59;   1.601 (57);   1.222 (43);   2.823
60-69;     814 (48);     883 (52);   1.697
70-79;     565 (47);     648 (53);   1.213
80-89;     497 (57);     375 (43);     872
90+;     200 (72);      77 (28);     277
I alt;   9.127 (55);   7.573 (45);  16.700
