Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     204 (52);     187 (48);     391
10-19;     395 (55);     319 (45);     714
20-29;   1.169 (61);     751 (39);   1.920
30-39;   1.157 (60);     781 (40);   1.938
40-49;   1.371 (60);     931 (40);   2.302
50-59;   1.401 (59);     964 (41);   2.365
60-69;     745 (50);     749 (50);   1.494
70-79;     508 (46);     603 (54);   1.111
80-89;     484 (57);     362 (43);     846
90+;     196 (73);      73 (27);     269
I alt;   7.630 (57);   5.720 (43);  13.350
