"Regionsnavn","Antal første vacc.","Antal faerdigvacc.","Vacc.dækning foerste vacc. (%)","Vacc.dækning faerdigvacc. (%)","Antal borgere"
Nordjylland,77374,39160,13.1,6.6,590441
Midtjylland,164172,89033,12.3,6.7,1333290
Syddanmark,150563,84517,12.3,6.9,1224062
Hovedstaden,223261,112588,12.0,6.1,1856127
Sjælland,115457,54257,13.8,6.5,839446
