"Regionsnavn","Antal første vacc. personer","Antal faerdigvacc. personer","Antal borgere"
Nordjylland,77374,39160,590441
Midtjylland,164172,89033,1333290
Syddanmark,150563,84517,1224062
Hovedstaden,223261,112588,1856127
Sjælland,115457,54257,839446
