Region;Testede;Positive;Indlagt_total;Døde
Hovedstaden;1.556.834; 123.195;   7.228;   1.334
Sjælland; 650.159;  35.126;   2.514;     404
Syddanmark; 971.255;  37.088;   1.748;     219
Midtjylland;1.059.793;  45.120;   2.136;     353
Nordjylland; 495.914;  17.707;     925;     185
I alt i Danmark;4.733.955; 258.236;  14.551;   2.495
