"Regionsnavn";"Antal første vacc.";"Antal faerdigvacc.";"Antal 1. revacc.";"Vacc.dækning foerste vacc. (%)";"Vacc.dækning faerdigvacc. (%)";"Vacc.dækning 1. revacc. (%)";"Antal borgere"
Nordjylland;499781;490492;376147;84.5;82.9;63.6;591693
Midtjylland;1124090;1103857;840289;83.7;82.2;62.6;1342679
Syddanmark;1024797;1006982;768274;83.4;82.0;62.5;1228448
Hovedstaden;1501521;1467878;1086820;80.3;78.5;58.1;1869026
Sjælland;695504;682865;524839;82.4;80.9;62.2;843592
