"Regionsnavn";"Aldersgruppe";"sex";"Antal første vacc.";"Antal færdigvacc."
Hovedstaden;0-9;K;18361;13121
Hovedstaden;0-9;M;19455;13936
Hovedstaden;10-19;K;81105;77066
Hovedstaden;10-19;M;83688;79179
Hovedstaden;20-29;K;122710;120247
Hovedstaden;20-29;M;116080;113170
Hovedstaden;30-39;K;110903;108730
Hovedstaden;30-39;M;108205;106059
Hovedstaden;40-49;K;112736;111611
Hovedstaden;40-49;M;109528;108436
Hovedstaden;50-59;K;113279;112662
Hovedstaden;50-59;M;112446;111794
Hovedstaden;60-69;K;89007;88718
Hovedstaden;60-69;M;84363;84040
Hovedstaden;70-79;K;82146;81957
Hovedstaden;70-79;M;68258;68127
Hovedstaden;80-89;K;35935;35824
Hovedstaden;80-89;M;23510;23452
Hovedstaden;90+;K;7267;7221
Hovedstaden;90+;M;2539;2528
Midtjylland;0-9;K;16220;12460
Midtjylland;0-9;M;17326;13300
Midtjylland;10-19;K;69732;67367
Midtjylland;10-19;M;71730;69101
Midtjylland;20-29;K;79903;78534
Midtjylland;20-29;M;81705;79985
Midtjylland;30-39;K;68365;67262
Midtjylland;30-39;M;69164;68028
Midtjylland;40-49;K;77843;77390
Midtjylland;40-49;M;76946;76421
Midtjylland;50-59;K;84504;84222
Midtjylland;50-59;M;84969;84676
Midtjylland;60-69;K;74441;74280
Midtjylland;60-69;M;72905;72752
Midtjylland;70-79;K;63786;63719
Midtjylland;70-79;M;58979;58912
Midtjylland;80-89;K;27408;27349
Midtjylland;80-89;M;20626;20592
Midtjylland;90+;K;5276;5252
Midtjylland;90+;M;2262;2255
Nordjylland;0-9;K;6600;5014
Nordjylland;0-9;M;6909;5188
Nordjylland;10-19;K;28869;27810
Nordjylland;10-19;M;30316;29080
Nordjylland;20-29;K;31575;30926
Nordjylland;20-29;M;35370;34492
Nordjylland;30-39;K;27932;27457
Nordjylland;30-39;M;28867;28303
Nordjylland;40-49;K;32468;32259
Nordjylland;40-49;M;32622;32377
Nordjylland;50-59;K;38486;38324
Nordjylland;50-59;M;38915;38750
Nordjylland;60-69;K;35828;35735
Nordjylland;60-69;M;35321;35236
Nordjylland;70-79;K;31633;31584
Nordjylland;70-79;M;29730;29681
Nordjylland;80-89;K;13916;13893
Nordjylland;80-89;M;10590;10567
Nordjylland;90+;K;2659;2647
Nordjylland;90+;M;1175;1169
Sjælland;0-9;K;8119;6165
Sjælland;0-9;M;8799;6647
Sjælland;10-19;K;40921;39337
Sjælland;10-19;M;43393;41653
Sjælland;20-29;K;30285;29498
Sjælland;20-29;M;33052;32097
Sjælland;30-39;K;37412;36625
Sjælland;30-39;M;36233;35467
Sjælland;40-49;K;50656;50243
Sjælland;40-49;M;48488;48081
Sjælland;50-59;K;60020;59739
Sjælland;50-59;M;60223;59976
Sjælland;60-69;K;52859;52710
Sjælland;60-69;M;51402;51252
Sjælland;70-79;K;49361;49270
Sjælland;70-79;M;44799;44732
Sjælland;80-89;K;19776;19723
Sjælland;80-89;M;14793;14769
Sjælland;90+;K;3477;3451
Sjælland;90+;M;1436;1430
Syddanmark;0-9;K;13543;10636
Syddanmark;0-9;M;14529;11471
Syddanmark;10-19;K;62085;59911
Syddanmark;10-19;M;64106;61746
Syddanmark;20-29;K;57248;56042
Syddanmark;20-29;M;61581;60023
Syddanmark;30-39;K;57509;56485
Syddanmark;30-39;M;57602;56477
Syddanmark;40-49;K;71255;70756
Syddanmark;40-49;M;69616;69033
Syddanmark;50-59;K;82034;81700
Syddanmark;50-59;M;82840;82505
Syddanmark;60-69;K;73579;73409
Syddanmark;60-69;M;72711;72543
Syddanmark;70-79;K;65181;65092
Syddanmark;70-79;M;60009;59918
Syddanmark;80-89;K;29485;29429
Syddanmark;80-89;M;21889;21851
Syddanmark;90+;K;5671;5638
Syddanmark;90+;M;2324;2317
