"dato";"Regionsnavn";"sex";"Paabegyndt vacc. idag";"Faerdigvacc. idag";"Revacc. 1 idag";"Paabegyndt vacc. igaar";"Faerdigvacc. igaar";"Revacc. 1 igaar";"Paabegyndt vacc. difference";"Faerdigvaccineret difference";"Revacc. 1 difference"
2022-02-08;Hovedstaden;K;773449;757157;566356;773491;757059;565560;-42;98;796
2022-02-08;Hovedstaden;M;728072;710721;520464;728108;710631;519790;-36;90;674
2022-02-08;Midtjylland;K;567478;557835;430398;567510;557788;429909;-32;47;489
2022-02-08;Midtjylland;M;556612;546022;409891;556650;545983;409458;-38;39;433
2022-02-08;Nordjylland;K;249966;245649;191733;249984;245645;191613;-18;4;120
2022-02-08;Nordjylland;M;249815;244843;184414;249828;244830;184277;-13;13;137
2022-02-08;Sjælland;K;352886;346761;270741;352894;346717;270557;-8;44;184
2022-02-08;Sjælland;M;342618;336104;254098;342651;336086;253954;-33;18;144
2022-02-08;Syddanmark;K;517590;509098;394587;517615;509055;394254;-25;43;333
2022-02-08;Syddanmark;M;507207;497884;373687;507230;497831;373341;-23;53;346
