"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
00-02;K;8;2;90634;0.0;0.0
00-02;M;1;0;95605;0.0;0.0
03-05;K;9232;6266;92393;10.0;6.8
03-05;M;10061;6795;97690;10.3;7.0
06-11;K;91943;73123;180801;50.9;40.4
06-11;M;97010;77188;190040;51.0;40.6
12-15;K;119994;116710;145593;82.4;80.2
12-15;M;126035;122425;153364;82.2;79.8
16-19;K;124378;122786;137235;90.6;89.5
16-19;M;127144;124893;142325;89.3;87.8
20-39;K;623842;611806;733023;85.1;83.5
20-39;M;627859;614101;762267;82.4;80.6
40-64;K;891462;886579;952539;93.6;93.1
40-64;M;882660;877592;954582;92.5;91.9
65-79;K;449640;448801;463183;97.1;96.9
65-79;M;412410;411650;424341;97.2;97.0
80+;K;150870;150427;155988;96.7;96.4
80+;M;101144;100930;103835;97.4;97.2
