"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
0-9;K;60518;45443;297812;20.3;15.3
0-9;M;64562;48470;314435;20.5;15.4
10-19;K;265895;254427;329702;80.6;77.2
10-19;M;277292;264650;346192;80.1;76.4
20-29;K;322892;316478;382496;84.4;82.7
20-29;M;328413;320393;398881;82.3;80.3
30-39;K;301253;295599;350830;85.9;84.3
30-39;M;301082;295239;365022;82.5;80.9
40-49;K;337400;334691;367384;91.8;91.1
40-49;M;328964;326075;367675;89.5;88.7
50-59;K;377940;376234;401221;94.2;93.8
50-59;M;379451;377718;405072;93.7;93.2
60-69;K;329039;328163;342551;96.1;95.8
60-69;M;319458;318561;332334;96.1;95.9
70-79;K;297932;297419;305775;97.4;97.3
70-79;M;269192;268778;275837;97.6;97.4
80-89;K;137883;137579;141701;97.3;97.1
80-89;M;102870;102693;105183;97.8;97.6
90+;K;30617;30467;31917;95.9;95.5
90+;M;13040;12997;13418;97.2;96.9
