"Kommunenavn";"Antal første vacc. personer";"Antal faerdigvacc. personer";"Antal borgere"
København;508315;496601;645360
Frederiksberg;86759;85069;103586
Ballerup;39020;38125;49245
Brøndby;25887;25116;35794
Dragør;12258;11962;14594
Gentofte;62257;60966;74247
Gladsaxe;55563;54222;69291
Glostrup;18257;17816;23456
Herlev;22646;22034;28803
Albertslund;20642;19980;27613
Hvidovre;41522;40351;53192
Høje-Taastrup;39716;38665;53141
Lyngby-Taarbæk;48639;47533;57814
Rødovre;32134;31270;41443
Ishøj;16179;15681;23250
Tårnby;34267;33470;42736
Vallensbæk;12558;12220;16523
Furesø;34232;33485;41387
Allerød;22006;21611;25850
Fredensborg;33547;32869;41208
Helsingør;51692;50703;62824
Hillerød;44103;43273;53339
Hørsholm;21106;20739;24714
Rudersdal;48477;47512;57247
Egedal;36964;36276;44423
Frederikssund;38535;37804;45789
Greve;40784;39921;50845
Køge;50477;49391;61662
Frederiksværk-Hundested;25994;25474;31335
Roskilde;75107;73735;89516
Solrød;19494;19114;23806
Gribskov;34182;33576;41174
Odsherred;27645;27236;32814
Holbæk;60717;59624;72900
Faxe;30434;29844;37139
Kalundborg;39827;39137;48382
Ringsted;28227;27691;35177
Slagelse;65053;63777;79723
Stevns;19481;19104;23502
Sorø;25171;24774;29974
Lejre;23734;23331;28577
Lolland;32839;32293;40066
Næstved;69325;68140;83937
Guldborgsund;49743;48976;60283
Vordingborg;37446;36777;45289
Bornholm;34064;33475;39648
Middelfart;33922;33382;39630
Assens;34991;34380;40929
Faaborg-Midtfyn;44269;43477;51860
Kerteminde;20527;20163;24013
Nyborg;27539;27077;32093
Odense;172322;169050;205973
Svendborg;50603;49795;59207
Nordfyns;25003;24527;29741
Langeland;10583;10445;12322
Ærø;5276;5185;6020
Haderslev;45635;44829;55282
Billund;22205;21836;26678
Sønderborg;61673;60630;73718
Tønder;29970;29453;36818
Esbjerg;95795;94168;115489
Fanø;2961;2927;3418
Varde;41188;40445;49637
Vejen;34989;34337;42596
Aabenraa;47272;46544;58669
Fredericia;43095;42340;51606
Horsens;77101;75726;94679
Kolding;77008;75721;93552
Vejle;97971;96271;119197
Herning;74691;73400;89281
Holstebro;49440;48558;58528
Lemvig;16571;16349;19392
Struer;17859;17564;20783
Syddjurs;36963;36341;43676
Norddjurs;31286;30781;36892
Favrskov;41403;40631;48872
Odder;19974;19651;23332
Randers;82641;81179;99053
Silkeborg;81051;79574;97587
Samsø;3249;3204;3710
Skanderborg;53953;52861;64378
Århus;296073;290176;355424
Ikast-Brande;34367;33795;41887
Ringkøbing-Skjern;46930;46143;56189
Hedensted;39612;39046;47115
Morsø;17066;16742;20079
Skive;38847;38246;45087
Thisted;36350;35700;43059
Viborg;82079;80632;96814
Brønderslev-Dronninglund;30514;29939;36215
Frederikshavn;50190;49394;58836
Vesthimmerlands;30066;29519;36277
Læsø;1530;1507;1775
Rebild;25494;24986;30679
Mariagerfjord;35229;34516;41611
Jammerbugt;32343;31707;38166
Ålborg;186481;182879;221161
Hjørring;54518;53603;63835
