"Regionsnavn";"Antal første vacc. personer";"Antal faerdigvacc. personer";"Antal borgere"
Nordjylland;499781;490492;591693
Midtjylland;1124090;1103857;1342679
Syddanmark;1024797;1006982;1228448
Hovedstaden;1501521;1467878;1869026
Sjælland;695504;682865;843592
