"Kommunenavn";"Antal første vacc.";"Antal faerdigvacc.";"Antal 1. revacc.";"Vacc.dækning foerste vacc. (%)";"Vacc.dækning faerdigvacc. (%)";"Vacc.dækning 1. revacc. (%)";"Antal borgere"
København;508315;496601;355662;78.8;76.9;55.1;645360
Frederiksberg;86759;85069;64680;83.8;82.1;62.4;103586
Ballerup;39020;38125;28703;79.2;77.4;58.3;49245
Brøndby;25887;25116;18057;72.3;70.2;50.4;35794
Dragør;12258;11962;9135;84.0;82.0;62.6;14594
Gentofte;62257;60966;46073;83.9;82.1;62.1;74247
Gladsaxe;55563;54222;39608;80.2;78.3;57.2;69291
Glostrup;18257;17816;12998;77.8;76.0;55.4;23456
Herlev;22646;22034;16276;78.6;76.5;56.5;28803
Albertslund;20642;19980;13940;74.8;72.4;50.5;27613
Hvidovre;41522;40351;29198;78.1;75.9;54.9;53192
Høje Tåstrup;39716;38665;27623;74.7;72.8;52.0;53141
Lyngby-Taarbæk;48639;47533;35882;84.1;82.2;62.1;57814
Rødovre;32134;31270;22764;77.5;75.5;54.9;41443
Ishøj;16179;15681;10597;69.6;67.4;45.6;23250
Tårnby;34267;33470;24811;80.2;78.3;58.1;42736
Vallensbæk;12558;12220;8767;76.0;74.0;53.1;16523
Furesø;34232;33485;25375;82.7;80.9;61.3;41387
Allerød;22006;21611;16609;85.1;83.6;64.3;25850
Fredensborg;33547;32869;25129;81.4;79.8;61.0;41208
Helsingør;51692;50703;39265;82.3;80.7;62.5;62824
Hillerød;44103;43273;32847;82.7;81.1;61.6;53339
Hørsholm;21106;20739;16313;85.4;83.9;66.0;24714
Rudersdal;48477;47512;36620;84.7;83.0;64.0;57247
Egedal;36964;36276;27110;83.2;81.7;61.0;44423
Frederikssund;38535;37804;29254;84.2;82.6;63.9;45789
Greve;40784;39921;29854;80.2;78.5;58.7;50845
Køge;50477;49391;37458;81.9;80.1;60.7;61662
Halsnæs;25994;25474;19973;83.0;81.3;63.7;31335
Roskilde;75107;73735;56129;83.9;82.4;62.7;89516
Solrød;19494;19114;14330;81.9;80.3;60.2;23806
Gribskov;34182;33576;26472;83.0;81.5;64.3;41174
Odsherred;27645;27236;21829;84.2;83.0;66.5;32814
Holbæk;60717;59624;45337;83.3;81.8;62.2;72900
Faxe;30434;29844;22948;81.9;80.4;61.8;37139
Kalundborg;39827;39137;30401;82.3;80.9;62.8;48382
Ringsted;28227;27691;20901;80.2;78.7;59.4;35177
Slagelse;65053;63777;48876;81.6;80.0;61.3;79723
Stevns;19481;19104;14977;82.9;81.3;63.7;23502
Sorø;25171;24774;19025;84.0;82.7;63.5;29974
Lejre;23734;23331;17955;83.1;81.6;62.8;28577
