"Aldersgruppe";"Køn";"Antal første vacc.";"Antal færdigvacc.";"Antal borgere";"Andel første vacc.";"Andel færdigvacc."
00-02;K;7;2;90633;0.0;0.0
00-02;M;1;0;95605;0.0;0.0
03-05;K;8013;5378;91174;8.8;5.9
03-05;M;8733;5827;96362;9.1;6.0
06-11;K;90032;71273;178890;50.3;39.8
06-11;M;94989;75199;188019;50.5;40.0
12-15;K;107092;103516;132691;80.7;78.0
12-15;M;112933;109068;140262;80.5;77.8
16-19;K;121269;119701;134126;90.4;89.2
16-19;M;125198;123026;140379;89.2;87.6
20-39;K;624145;612077;733326;85.1;83.5
20-39;M;629495;615632;763903;82.4;80.6
40-64;K;884976;880050;946053;93.5;93.0
40-64;M;875380;870227;947302;92.4;91.9
65-79;K;457335;456457;470878;97.1;96.9
65-79;M;421685;420905;433616;97.2;97.1
80+;K;168500;168046;173618;97.1;96.8
80+;M;115910;115690;118601;97.7;97.5
