Year;Quarter;Age;Sex;Population
2008;1;  0;Male;32976
2008;2;  0;Male;33213
2008;3;  0;Male;33301
2008;4;  0;Male;33672
2009;1;  0;Male;33656
2009;2;  0;Male;33467
2009;3;  0;Male;33373
2009;4;  0;Male;32821
2010;1;  0;Male;32435
2010;2;  0;Male;32611
2010;3;  0;Male;32608
2010;4;  0;Male;32575
2011;1;  0;Male;32628
2011;2;  0;Male;31922
2011;3;  0;Male;31355
2011;4;  0;Male;30912
2012;1;  0;Male;30184
2012;2;  0;Male;30079
2012;3;  0;Male;29933
2012;4;  0;Male;29797
2013;1;  0;Male;29991
2013;2;  0;Male;29685
2013;3;  0;Male;29591
2013;4;  0;Male;29243
2014;1;  0;Male;28751
2014;2;  0;Male;28720
2014;3;  0;Male;28747
2014;4;  0;Male;29078
2015;1;  0;Male;29375
2015;2;  0;Male;29381
2015;3;  0;Male;29360
2015;4;  0;Male;29668
2016;1;  0;Male;30049
2016;2;  0;Male;30514
2016;3;  0;Male;31149
2016;4;  0;Male;31818
2017;1;  0;Male;31971
2017;2;  0;Male;31978
2017;3;  0;Male;32001
2017;4;  0;Male;31580
2018;1;  0;Male;31624
2018;2;  0;Male;31765
2018;3;  0;Male;31900
2018;4;  0;Male;31860
2019;1;  0;Male;31754
2019;2;  0;Male;31459
2019;3;  0;Male;31471
2019;4;  0;Male;31686
2020;1;  0;Male;31649
2020;2;  0;Male;31722
2020;3;  0;Male;31512
2020;4;  0;Male;31397
2021;1;  0;Male;31303
2021;2;  0;Male;31649
2021;3;  0;Male;31870
2021;4;  0;Male;32068
2008;1;  1;Male;33797
2008;2;  1;Male;33680
2008;3;  1;Male;33391
2008;4;  1;Male;33009
2009;1;  1;Male;33212
2009;2;  1;Male;33466
2009;3;  1;Male;33573
2009;4;  1;Male;33984
2010;1;  1;Male;33984
2010;2;  1;Male;33767
2010;3;  1;Male;33697
2010;4;  1;Male;33118
2011;1;  1;Male;32714
2011;2;  1;Male;32808
2011;3;  1;Male;32846
2011;4;  1;Male;32815
2012;1;  1;Male;32854
2012;2;  1;Male;32148
2012;3;  1;Male;31577
2012;4;  1;Male;31117
2013;1;  1;Male;30402
2013;2;  1;Male;30328
2013;3;  1;Male;30199
2013;4;  1;Male;30050
2014;1;  1;Male;30273
2014;2;  1;Male;29968
2014;3;  1;Male;29857
2014;4;  1;Male;29542
2015;1;  1;Male;29064
2015;2;  1;Male;29065
2015;3;  1;Male;29093
2015;4;  1;Male;29411
2016;1;  1;Male;29750
2016;2;  1;Male;29838
2016;3;  1;Male;29788
2016;4;  1;Male;29998
2017;1;  1;Male;30364
2017;2;  1;Male;30809
2017;3;  1;Male;31427
2017;4;  1;Male;32068
2018;1;  1;Male;32226
2018;2;  1;Male;32170
2018;3;  1;Male;32159
2018;4;  1;Male;31727
2019;1;  1;Male;31799
2019;2;  1;Male;31947
2019;3;  1;Male;32066
2019;4;  1;Male;32004
2020;1;  1;Male;31880
2020;2;  1;Male;31585
2020;3;  1;Male;31586
2020;4;  1;Male;31786
2021;1;  1;Male;31758
2021;2;  1;Male;31863
2021;3;  1;Male;31672
2021;4;  1;Male;31572
2008;1;  2;Male;33129
2008;2;  2;Male;33255
2008;3;  2;Male;33456
2008;4;  2;Male;33755
2009;1;  2;Male;33943
2009;2;  2;Male;33763
2009;3;  2;Male;33499
2009;4;  2;Male;33177
2010;1;  2;Male;33380
2010;2;  2;Male;33642
2010;3;  2;Male;33755
2010;4;  2;Male;34180
2011;1;  2;Male;34125
2011;2;  2;Male;33934
2011;3;  2;Male;33836
2011;4;  2;Male;33200
2012;1;  2;Male;32813
2012;2;  2;Male;32935
2012;3;  2;Male;32990
2012;4;  2;Male;32972
2013;1;  2;Male;33032
2013;2;  2;Male;32319
2013;3;  2;Male;31729
2013;4;  2;Male;31302
2014;1;  2;Male;30596
2014;2;  2;Male;30490
2014;3;  2;Male;30361
2014;4;  2;Male;30251
2015;1;  2;Male;30485
2015;2;  2;Male;30181
2015;3;  2;Male;30162
2015;4;  2;Male;29882
2016;1;  2;Male;29459
2016;2;  2;Male;29379
2016;3;  2;Male;29386
2016;4;  2;Male;29745
2017;1;  2;Male;30069
2017;2;  2;Male;30100
2017;3;  2;Male;30008
2017;4;  2;Male;30230
2018;1;  2;Male;30524
2018;2;  2;Male;30978
2018;3;  2;Male;31570
2018;4;  2;Male;32196
2019;1;  2;Male;32318
2019;2;  2;Male;32257
2019;3;  2;Male;32268
2019;4;  2;Male;31816
2020;1;  2;Male;31833
2020;2;  2;Male;31950
2020;3;  2;Male;32054
2020;4;  2;Male;32024
2021;1;  2;Male;31909
2021;2;  2;Male;31595
2021;3;  2;Male;31663
2021;4;  2;Male;31873
2008;1;  3;Male;33280
2008;2;  3;Male;33201
2008;3;  3;Male;33377
2008;4;  3;Male;33455
2009;1;  3;Male;33253
2009;2;  3;Male;33375
2009;3;  3;Male;33557
2009;4;  3;Male;33843
2010;1;  3;Male;34034
2010;2;  3;Male;33885
2010;3;  3;Male;33625
2010;4;  3;Male;33278
2011;1;  3;Male;33490
2011;2;  3;Male;33759
2011;3;  3;Male;33839
2011;4;  3;Male;34285
2012;1;  3;Male;34207
2012;2;  3;Male;34027
2012;3;  3;Male;33939
2012;4;  3;Male;33302
2013;1;  3;Male;32921
2013;2;  3;Male;33057
2013;3;  3;Male;33134
2013;4;  3;Male;33109
2014;1;  3;Male;33151
2014;2;  3;Male;32439
2014;3;  3;Male;31874
2014;4;  3;Male;31470
2015;1;  3;Male;30753
2015;2;  3;Male;30706
2015;3;  3;Male;30625
2015;4;  3;Male;30546
2016;1;  3;Male;30834
2016;2;  3;Male;30566
2016;3;  3;Male;30465
2016;4;  3;Male;30169
2017;1;  3;Male;29675
2017;2;  3;Male;29569
2017;3;  3;Male;29581
2017;4;  3;Male;29909
2018;1;  3;Male;30231
2018;2;  3;Male;30192
2018;3;  3;Male;30101
2018;4;  3;Male;30304
2019;1;  3;Male;30563
2019;2;  3;Male;30999
2019;3;  3;Male;31612
2019;4;  3;Male;32230
2020;1;  3;Male;32347
2020;2;  3;Male;32278
2020;3;  3;Male;32271
2020;4;  3;Male;31816
2021;1;  3;Male;31852
2021;2;  3;Male;32009
2021;3;  3;Male;32100
2021;4;  3;Male;32072
2008;1;  4;Male;33398
2008;2;  4;Male;33566
2008;3;  4;Male;33635
2008;4;  4;Male;33306
2009;1;  4;Male;33421
2009;2;  4;Male;33298
2009;3;  4;Male;33462
2009;4;  4;Male;33519
2010;1;  4;Male;33339
2010;2;  4;Male;33448
2010;3;  4;Male;33638
2010;4;  4;Male;33923
2011;1;  4;Male;34127
2011;2;  4;Male;33960
2011;3;  4;Male;33684
2011;4;  4;Male;33323
2012;1;  4;Male;33582
2012;2;  4;Male;33828
2012;3;  4;Male;33902
2012;4;  4;Male;34345
2013;1;  4;Male;34325
2013;2;  4;Male;34118
2013;3;  4;Male;34002
2013;4;  4;Male;33372
2014;1;  4;Male;33021
2014;2;  4;Male;33162
2014;3;  4;Male;33258
2014;4;  4;Male;33241
2015;1;  4;Male;33324
2015;2;  4;Male;32660
2015;3;  4;Male;32137
2015;4;  4;Male;31756
2016;1;  4;Male;31038
2016;2;  4;Male;31020
2016;3;  4;Male;30890
2016;4;  4;Male;30845
2017;1;  4;Male;31101
2017;2;  4;Male;30785
2017;3;  4;Male;30648
2017;4;  4;Male;30292
2018;1;  4;Male;29754
2018;2;  4;Male;29655
2018;3;  4;Male;29637
2018;4;  4;Male;29947
2019;1;  4;Male;30260
2019;2;  4;Male;30227
2019;3;  4;Male;30095
2019;4;  4;Male;30323
2020;1;  4;Male;30577
2020;2;  4;Male;31035
2020;3;  4;Male;31618
2020;4;  4;Male;32256
2021;1;  4;Male;32402
2021;2;  4;Male;32342
2021;3;  4;Male;32311
2021;4;  4;Male;31861
2008;1;  5;Male;33269
2008;2;  5;Male;33163
2008;3;  5;Male;33028
2008;4;  5;Male;33479
2009;1;  5;Male;33513
2009;2;  5;Male;33673
2009;3;  5;Male;33735
2009;4;  5;Male;33372
2010;1;  5;Male;33465
2010;2;  5;Male;33366
2010;3;  5;Male;33515
2010;4;  5;Male;33578
2011;1;  5;Male;33361
2011;2;  5;Male;33497
2011;3;  5;Male;33660
2011;4;  5;Male;33936
2012;1;  5;Male;34137
2012;2;  5;Male;34026
2012;3;  5;Male;33748
2012;4;  5;Male;33396
2013;1;  5;Male;33629
2013;2;  5;Male;33862
2013;3;  5;Male;33983
2013;4;  5;Male;34447
2014;1;  5;Male;34421
2014;2;  5;Male;34225
2014;3;  5;Male;34143
2014;4;  5;Male;33527
2015;1;  5;Male;33171
2015;2;  5;Male;33301
2015;3;  5;Male;33453
2015;4;  5;Male;33508
2016;1;  5;Male;33643
2016;2;  5;Male;32949
2016;3;  5;Male;32435
2016;4;  5;Male;32016
2017;1;  5;Male;31315
2017;2;  5;Male;31229
2017;3;  5;Male;31072
2017;4;  5;Male;30930
2018;1;  5;Male;31183
2018;2;  5;Male;30821
2018;3;  5;Male;30668
2018;4;  5;Male;30343
2019;1;  5;Male;29828
2019;2;  5;Male;29725
2019;3;  5;Male;29702
2019;4;  5;Male;30003
2020;1;  5;Male;30308
2020;2;  5;Male;30269
2020;3;  5;Male;30146
2020;4;  5;Male;30340
2021;1;  5;Male;30627
2021;2;  5;Male;31077
2021;3;  5;Male;31674
2021;4;  5;Male;32281
2008;1;  6;Male;33615
2008;2;  6;Male;33392
2008;3;  6;Male;33126
2008;4;  6;Male;33163
2009;1;  6;Male;33328
2009;2;  6;Male;33215
2009;3;  6;Male;33090
2009;4;  6;Male;33553
2010;1;  6;Male;33553
2010;2;  6;Male;33734
2010;3;  6;Male;33783
2010;4;  6;Male;33453
2011;1;  6;Male;33556
2011;2;  6;Male;33418
2011;3;  6;Male;33585
2011;4;  6;Male;33632
2012;1;  6;Male;33419
2012;2;  6;Male;33535
2012;3;  6;Male;33697
2012;4;  6;Male;33984
2013;1;  6;Male;34197
2013;2;  6;Male;34075
2013;3;  6;Male;33798
2013;4;  6;Male;33469
2014;1;  6;Male;33742
2014;2;  6;Male;33960
2014;3;  6;Male;34099
2014;4;  6;Male;34601
2015;1;  6;Male;34598
2015;2;  6;Male;34434
2015;3;  6;Male;34355
2015;4;  6;Male;33794
2016;1;  6;Male;33495
2016;2;  6;Male;33670
2016;3;  6;Male;33789
2016;4;  6;Male;33796
2017;1;  6;Male;33846
2017;2;  6;Male;33159
2017;3;  6;Male;32608
2017;4;  6;Male;32172
2018;1;  6;Male;31402
2018;2;  6;Male;31272
2018;3;  6;Male;31124
2018;4;  6;Male;31017
2019;1;  6;Male;31250
2019;2;  6;Male;30885
2019;3;  6;Male;30736
2019;4;  6;Male;30411
2020;1;  6;Male;29872
2020;2;  6;Male;29739
2020;3;  6;Male;29711
2020;4;  6;Male;30049
2021;1;  6;Male;30350
2021;2;  6;Male;30332
2021;3;  6;Male;30220
2021;4;  6;Male;30410
2008;1;  7;Male;34593
2008;2;  7;Male;34593
2008;3;  7;Male;34418
2008;4;  7;Male;34180
2009;1;  7;Male;33661
2009;2;  7;Male;33434
2009;3;  7;Male;33168
2009;4;  7;Male;33195
2010;1;  7;Male;33373
2010;2;  7;Male;33267
2010;3;  7;Male;33134
2010;4;  7;Male;33569
2011;1;  7;Male;33579
2011;2;  7;Male;33780
2011;3;  7;Male;33828
2011;4;  7;Male;33495
2012;1;  7;Male;33577
2012;2;  7;Male;33442
2012;3;  7;Male;33609
2012;4;  7;Male;33673
2013;1;  7;Male;33446
2013;2;  7;Male;33585
2013;3;  7;Male;33760
2013;4;  7;Male;34047
2014;1;  7;Male;34266
2014;2;  7;Male;34188
2014;3;  7;Male;33927
2014;4;  7;Male;33616
2015;1;  7;Male;33877
2015;2;  7;Male;34170
2015;3;  7;Male;34349
2015;4;  7;Male;34909
2016;1;  7;Male;34918
2016;2;  7;Male;34773
2016;3;  7;Male;34656
2016;4;  7;Male;34085
2017;1;  7;Male;33738
2017;2;  7;Male;33888
2017;3;  7;Male;33986
2017;4;  7;Male;33936
2018;1;  7;Male;33940
2018;2;  7;Male;33250
2018;3;  7;Male;32683
2018;4;  7;Male;32226
2019;1;  7;Male;31439
2019;2;  7;Male;31355
2019;3;  7;Male;31193
2019;4;  7;Male;31074
2020;1;  7;Male;31307
2020;2;  7;Male;30918
2020;3;  7;Male;30788
2020;4;  7;Male;30441
2021;1;  7;Male;29944
2021;2;  7;Male;29822
2021;3;  7;Male;29803
2021;4;  7;Male;30118
2008;1;  8;Male;34174
2008;2;  8;Male;34091
2008;3;  8;Male;34293
2008;4;  8;Male;34292
2009;1;  8;Male;34634
2009;2;  8;Male;34609
2009;3;  8;Male;34420
2009;4;  8;Male;34185
2010;1;  8;Male;33671
2010;2;  8;Male;33466
2010;3;  8;Male;33198
2010;4;  8;Male;33246
2011;1;  8;Male;33427
2011;2;  8;Male;33290
2011;3;  8;Male;33153
2011;4;  8;Male;33607
2012;1;  8;Male;33649
2012;2;  8;Male;33858
2012;3;  8;Male;33887
2012;4;  8;Male;33542
2013;1;  8;Male;33628
2013;2;  8;Male;33498
2013;3;  8;Male;33701
2013;4;  8;Male;33763
2014;1;  8;Male;33567
2014;2;  8;Male;33682
2014;3;  8;Male;33851
2014;4;  8;Male;34188
2015;1;  8;Male;34436
2015;2;  8;Male;34336
2015;3;  8;Male;34122
2015;4;  8;Male;33863
2016;1;  8;Male;34180
2016;2;  8;Male;34487
2016;3;  8;Male;34641
2016;4;  8;Male;35190
2017;1;  8;Male;35147
2017;2;  8;Male;34966
2017;3;  8;Male;34830
2017;4;  8;Male;34233
2018;1;  8;Male;33872
2018;2;  8;Male;33989
2018;3;  8;Male;34082
2018;4;  8;Male;34030
2019;1;  8;Male;34033
2019;2;  8;Male;33323
2019;3;  8;Male;32740
2019;4;  8;Male;32276
2020;1;  8;Male;31510
2020;2;  8;Male;31411
2020;3;  8;Male;31263
2020;4;  8;Male;31125
2021;1;  8;Male;31371
2021;2;  8;Male;31016
2021;3;  8;Male;30846
2021;4;  8;Male;30521
2008;1;  9;Male;34534
2008;2;  9;Male;34436
2008;3;  9;Male;34622
2008;4;  9;Male;34367
2009;1;  9;Male;34232
2009;2;  9;Male;34157
2009;3;  9;Male;34360
2009;4;  9;Male;34375
2010;1;  9;Male;34689
2010;2;  9;Male;34644
2010;3;  9;Male;34458
2010;4;  9;Male;34221
2011;1;  9;Male;33693
2011;2;  9;Male;33501
2011;3;  9;Male;33229
2011;4;  9;Male;33264
2012;1;  9;Male;33447
2012;2;  9;Male;33310
2012;3;  9;Male;33198
2012;4;  9;Male;33652
2013;1;  9;Male;33695
2013;2;  9;Male;33895
2013;3;  9;Male;33919
2013;4;  9;Male;33584
2014;1;  9;Male;33739
2014;2;  9;Male;33645
2014;3;  9;Male;33868
2014;4;  9;Male;33918
2015;1;  9;Male;33709
2015;2;  9;Male;33844
2015;3;  9;Male;34034
2015;4;  9;Male;34407
2016;1;  9;Male;34688
2016;2;  9;Male;34625
2016;3;  9;Male;34423
2016;4;  9;Male;34153
2017;1;  9;Male;34430
2017;2;  9;Male;34673
2017;3;  9;Male;34829
2017;4;  9;Male;35337
2018;1;  9;Male;35294
2018;2;  9;Male;35081
2018;3;  9;Male;34917
2018;4;  9;Male;34326
2019;1;  9;Male;33963
2019;2;  9;Male;34074
2019;3;  9;Male;34171
2019;4;  9;Male;34130
2020;1;  9;Male;34130
2020;2;  9;Male;33389
2020;3;  9;Male;32777
2020;4;  9;Male;32337
2021;1;  9;Male;31587
2021;2;  9;Male;31510
2021;3;  9;Male;31359
2021;4;  9;Male;31225
2008;1; 10;Male;35332
2008;2; 10;Male;34990
2008;3; 10;Male;34428
2008;4; 10;Male;34478
2009;1; 10;Male;34601
2009;2; 10;Male;34509
2009;3; 10;Male;34680
2009;4; 10;Male;34430
2010;1; 10;Male;34294
2010;2; 10;Male;34236
2010;3; 10;Male;34422
2010;4; 10;Male;34419
2011;1; 10;Male;34729
2011;2; 10;Male;34698
2011;3; 10;Male;34503
2011;4; 10;Male;34254
2012;1; 10;Male;33741
2012;2; 10;Male;33543
2012;3; 10;Male;33284
2012;4; 10;Male;33305
2013;1; 10;Male;33498
2013;2; 10;Male;33374
2013;3; 10;Male;33248
2013;4; 10;Male;33711
2014;1; 10;Male;33751
2014;2; 10;Male;33983
2014;3; 10;Male;34013
2014;4; 10;Male;33723
2015;1; 10;Male;33886
2015;2; 10;Male;33818
2015;3; 10;Male;34037
2015;4; 10;Male;34136
2016;1; 10;Male;33963
2016;2; 10;Male;34102
2016;3; 10;Male;34270
2016;4; 10;Male;34636
2017;1; 10;Male;34893
2017;2; 10;Male;34826
2017;3; 10;Male;34603
2017;4; 10;Male;34310
2018;1; 10;Male;34533
2018;2; 10;Male;34765
2018;3; 10;Male;34913
2018;4; 10;Male;35429
2019;1; 10;Male;35361
2019;2; 10;Male;35158
2019;3; 10;Male;34995
2019;4; 10;Male;34386
2020;1; 10;Male;34062
2020;2; 10;Male;34167
2020;3; 10;Male;34249
2020;4; 10;Male;34253
2021;1; 10;Male;34216
2021;2; 10;Male;33492
2021;3; 10;Male;32890
2021;4; 10;Male;32426
2008;1; 11;Male;35555
2008;2; 11;Male;35448
2008;3; 11;Male;35756
2008;4; 11;Male;35889
2009;1; 11;Male;35378
2009;2; 11;Male;35066
2009;3; 11;Male;34507
2009;4; 11;Male;34543
2010;1; 11;Male;34644
2010;2; 11;Male;34551
2010;3; 11;Male;34735
2010;4; 11;Male;34479
2011;1; 11;Male;34343
2011;2; 11;Male;34288
2011;3; 11;Male;34479
2011;4; 11;Male;34477
2012;1; 11;Male;34791
2012;2; 11;Male;34758
2012;3; 11;Male;34542
2012;4; 11;Male;34318
2013;1; 11;Male;33797
2013;2; 11;Male;33613
2013;3; 11;Male;33319
2013;4; 11;Male;33369
2014;1; 11;Male;33562
2014;2; 11;Male;33420
2014;3; 11;Male;33347
2014;4; 11;Male;33826
2015;1; 11;Male;33909
2015;2; 11;Male;34115
2015;3; 11;Male;34187
2015;4; 11;Male;33924
2016;1; 11;Male;34105
2016;2; 11;Male;34059
2016;3; 11;Male;34266
2016;4; 11;Male;34326
2017;1; 11;Male;34129
2017;2; 11;Male;34257
2017;3; 11;Male;34409
2017;4; 11;Male;34767
2018;1; 11;Male;35009
2018;2; 11;Male;34951
2018;3; 11;Male;34706
2018;4; 11;Male;34385
2019;1; 11;Male;34617
2019;2; 11;Male;34838
2019;3; 11;Male;34982
2019;4; 11;Male;35441
2020;1; 11;Male;35382
2020;2; 11;Male;35200
2020;3; 11;Male;35049
2020;4; 11;Male;34471
2021;1; 11;Male;34186
2021;2; 11;Male;34294
2021;3; 11;Male;34350
2021;4; 11;Male;34315
2008;1; 12;Male;36924
2008;2; 12;Male;36830
2008;3; 12;Male;36337
2008;4; 12;Male;35737
2009;1; 12;Male;35631
2009;2; 12;Male;35492
2009;3; 12;Male;35792
2009;4; 12;Male;35941
2010;1; 12;Male;35439
2010;2; 12;Male;35150
2010;3; 12;Male;34559
2010;4; 12;Male;34572
2011;1; 12;Male;34687
2011;2; 12;Male;34611
2011;3; 12;Male;34784
2011;4; 12;Male;34538
2012;1; 12;Male;34400
2012;2; 12;Male;34345
2012;3; 12;Male;34556
2012;4; 12;Male;34534
2013;1; 12;Male;34841
2013;2; 12;Male;34806
2013;3; 12;Male;34592
2013;4; 12;Male;34376
2014;1; 12;Male;33874
2014;2; 12;Male;33697
2014;3; 12;Male;33417
2014;4; 12;Male;33479
2015;1; 12;Male;33665
2015;2; 12;Male;33553
2015;3; 12;Male;33502
2015;4; 12;Male;34026
2016;1; 12;Male;34130
2016;2; 12;Male;34351
2016;3; 12;Male;34389
2016;4; 12;Male;34135
2017;1; 12;Male;34281
2017;2; 12;Male;34195
2017;3; 12;Male;34416
2017;4; 12;Male;34457
2018;1; 12;Male;34244
2018;2; 12;Male;34349
2018;3; 12;Male;34516
2018;4; 12;Male;34893
2019;1; 12;Male;35124
2019;2; 12;Male;35021
2019;3; 12;Male;34776
2019;4; 12;Male;34453
2020;1; 12;Male;34682
2020;2; 12;Male;34879
2020;3; 12;Male;35027
2020;4; 12;Male;35522
2021;1; 12;Male;35467
2021;2; 12;Male;35272
2021;3; 12;Male;35150
2021;4; 12;Male;34559
2008;1; 13;Male;36875
2008;2; 13;Male;37126
2008;3; 13;Male;37027
2008;4; 13;Male;37395
2009;1; 13;Male;36995
2009;2; 13;Male;36896
2009;3; 13;Male;36406
2009;4; 13;Male;35809
2010;1; 13;Male;35681
2010;2; 13;Male;35537
2010;3; 13;Male;35865
2010;4; 13;Male;36042
2011;1; 13;Male;35511
2011;2; 13;Male;35206
2011;3; 13;Male;34613
2011;4; 13;Male;34624
2012;1; 13;Male;34750
2012;2; 13;Male;34673
2012;3; 13;Male;34831
2012;4; 13;Male;34588
2013;1; 13;Male;34455
2013;2; 13;Male;34404
2013;3; 13;Male;34606
2013;4; 13;Male;34592
2014;1; 13;Male;34897
2014;2; 13;Male;34872
2014;3; 13;Male;34694
2014;4; 13;Male;34489
2015;1; 13;Male;33998
2015;2; 13;Male;33839
2015;3; 13;Male;33584
2015;4; 13;Male;33658
2016;1; 13;Male;33870
2016;2; 13;Male;33792
2016;3; 13;Male;33749
2016;4; 13;Male;34250
2017;1; 13;Male;34292
2017;2; 13;Male;34499
2017;3; 13;Male;34542
2017;4; 13;Male;34233
2018;1; 13;Male;34391
2018;2; 13;Male;34321
2018;3; 13;Male;34503
2018;4; 13;Male;34535
2019;1; 13;Male;34310
2019;2; 13;Male;34440
2019;3; 13;Male;34571
2019;4; 13;Male;34975
2020;1; 13;Male;35201
2020;2; 13;Male;35116
2020;3; 13;Male;34841
2020;4; 13;Male;34532
2021;1; 13;Male;34786
2021;2; 13;Male;34994
2021;3; 13;Male;35131
2021;4; 13;Male;35622
2008;1; 14;Male;35822
2008;2; 14;Male;35711
2008;3; 14;Male;36073
2008;4; 14;Male;36122
2009;1; 14;Male;36956
2009;2; 14;Male;37227
2009;3; 14;Male;37101
2009;4; 14;Male;37469
2010;1; 14;Male;37062
2010;2; 14;Male;36953
2010;3; 14;Male;36436
2010;4; 14;Male;35851
2011;1; 14;Male;35737
2011;2; 14;Male;35606
2011;3; 14;Male;35942
2011;4; 14;Male;36134
2012;1; 14;Male;35586
2012;2; 14;Male;35267
2012;3; 14;Male;34670
2012;4; 14;Male;34701
2013;1; 14;Male;34863
2013;2; 14;Male;34751
2013;3; 14;Male;34904
2013;4; 14;Male;34685
2014;1; 14;Male;34544
2014;2; 14;Male;34497
2014;3; 14;Male;34706
2014;4; 14;Male;34746
2015;1; 14;Male;35052
2015;2; 14;Male;35033
2015;3; 14;Male;34860
2015;4; 14;Male;34694
2016;1; 14;Male;34227
2016;2; 14;Male;34070
2016;3; 14;Male;33795
2016;4; 14;Male;33880
2017;1; 14;Male;34066
2017;2; 14;Male;33928
2017;3; 14;Male;33850
2017;4; 14;Male;34377
2018;1; 14;Male;34394
2018;2; 14;Male;34585
2018;3; 14;Male;34629
2018;4; 14;Male;34352
2019;1; 14;Male;34491
2019;2; 14;Male;34411
2019;3; 14;Male;34596
2019;4; 14;Male;34672
2020;1; 14;Male;34417
2020;2; 14;Male;34538
2020;3; 14;Male;34694
2020;4; 14;Male;35074
2021;1; 14;Male;35291
2021;2; 14;Male;35224
2021;3; 14;Male;34968
2021;4; 14;Male;34648
2008;1; 15;Male;36271
2008;2; 15;Male;36323
2008;3; 15;Male;36154
2008;4; 15;Male;36227
2009;1; 15;Male;35943
2009;2; 15;Male;35822
2009;3; 15;Male;36188
2009;4; 15;Male;36266
2010;1; 15;Male;37064
2010;2; 15;Male;37341
2010;3; 15;Male;37191
2010;4; 15;Male;37598
2011;1; 15;Male;37173
2011;2; 15;Male;37040
2011;3; 15;Male;36526
2011;4; 15;Male;36006
2012;1; 15;Male;35876
2012;2; 15;Male;35728
2012;3; 15;Male;36056
2012;4; 15;Male;36287
2013;1; 15;Male;35710
2013;2; 15;Male;35390
2013;3; 15;Male;34789
2013;4; 15;Male;34889
2014;1; 15;Male;34988
2014;2; 15;Male;34872
2014;3; 15;Male;35052
2014;4; 15;Male;34910
2015;1; 15;Male;34743
2015;2; 15;Male;34703
2015;3; 15;Male;34923
2015;4; 15;Male;35036
2016;1; 15;Male;35333
2016;2; 15;Male;35304
2016;3; 15;Male;35127
2016;4; 15;Male;35020
2017;1; 15;Male;34489
2017;2; 15;Male;34304
2017;3; 15;Male;33984
2017;4; 15;Male;34125
2018;1; 15;Male;34265
2018;2; 15;Male;34101
2018;3; 15;Male;33994
2018;4; 15;Male;34584
2019;1; 15;Male;34562
2019;2; 15;Male;34725
2019;3; 15;Male;34734
2019;4; 15;Male;34511
2020;1; 15;Male;34643
2020;2; 15;Male;34538
2020;3; 15;Male;34706
2020;4; 15;Male;34847
2021;1; 15;Male;34575
2021;2; 15;Male;34665
2021;3; 15;Male;34798
2021;4; 15;Male;35240
2008;1; 16;Male;34634
2008;2; 16;Male;35089
2008;3; 16;Male;35364
2008;4; 16;Male;36013
2009;1; 16;Male;36487
2009;2; 16;Male;36512
2009;3; 16;Male;36308
2009;4; 16;Male;36395
2010;1; 16;Male;36169
2010;2; 16;Male;36011
2010;3; 16;Male;36344
2010;4; 16;Male;36444
2011;1; 16;Male;37315
2011;2; 16;Male;37583
2011;3; 16;Male;37386
2011;4; 16;Male;37772
2012;1; 16;Male;37383
2012;2; 16;Male;37224
2012;3; 16;Male;36695
2012;4; 16;Male;36217
2013;1; 16;Male;36099
2013;2; 16;Male;35924
2013;3; 16;Male;36238
2013;4; 16;Male;36485
2014;1; 16;Male;35966
2014;2; 16;Male;35615
2014;3; 16;Male;34994
2014;4; 16;Male;35147
2015;1; 16;Male;35305
2015;2; 16;Male;35207
2015;3; 16;Male;35314
2015;4; 16;Male;35201
2016;1; 16;Male;35107
2016;2; 16;Male;35058
2016;3; 16;Male;35266
2016;4; 16;Male;35377
2017;1; 16;Male;35704
2017;2; 16;Male;35635
2017;3; 16;Male;35386
2017;4; 16;Male;35329
2018;1; 16;Male;34837
2018;2; 16;Male;34591
2018;3; 16;Male;34234
2018;4; 16;Male;34309
2019;1; 16;Male;34497
2019;2; 16;Male;34323
2019;3; 16;Male;34190
2019;4; 16;Male;34750
2020;1; 16;Male;34775
2020;2; 16;Male;34958
2020;3; 16;Male;34895
2020;4; 16;Male;34686
2021;1; 16;Male;34860
2021;2; 16;Male;34751
2021;3; 16;Male;34873
2021;4; 16;Male;35034
2008;1; 17;Male;34652
2008;2; 17;Male;34642
2008;3; 17;Male;34896
2008;4; 17;Male;34910
2009;1; 17;Male;34853
2009;2; 17;Male;35311
2009;3; 17;Male;35556
2009;4; 17;Male;36117
2010;1; 17;Male;36576
2010;2; 17;Male;36643
2010;3; 17;Male;36466
2010;4; 17;Male;36492
2011;1; 17;Male;36228
2011;2; 17;Male;36103
2011;3; 17;Male;36502
2011;4; 17;Male;36565
2012;1; 17;Male;37431
2012;2; 17;Male;37737
2012;3; 17;Male;37559
2012;4; 17;Male;37871
2013;1; 17;Male;37455
2013;2; 17;Male;37333
2013;3; 17;Male;36865
2013;4; 17;Male;36303
2014;1; 17;Male;36175
2014;2; 17;Male;36062
2014;3; 17;Male;36417
2014;4; 17;Male;36595
2015;1; 17;Male;36085
2015;2; 17;Male;35815
2015;3; 17;Male;35271
2015;4; 17;Male;35344
2016;1; 17;Male;35572
2016;2; 17;Male;35534
2016;3; 17;Male;35709
2016;4; 17;Male;35571
2017;1; 17;Male;35408
2017;2; 17;Male;35365
2017;3; 17;Male;35546
2017;4; 17;Male;35555
2018;1; 17;Male;35837
2018;2; 17;Male;35805
2018;3; 17;Male;35595
2018;4; 17;Male;35347
2019;1; 17;Male;34823
2019;2; 17;Male;34623
