"2020M11D20";"I alt";0;0;0;1;0;0;2;0;1;0;1;6;4;8;16;17;26;23;16;8;4
"2020M11D21";"I alt";0;0;0;0;0;1;0;1;1;3;4;5;8;10;14;22;25;24;19;12;2
"2020M11D22";"I alt";1;0;0;0;1;0;0;0;1;0;2;3;5;10;19;26;26;28;21;10;1
"2020M11D23";"I alt";0;0;0;0;0;0;0;0;1;4;1;6;7;8;25;24;25;29;19;4;1
"2020M11D24";"I alt";0;0;0;2;0;0;0;3;1;3;3;5;6;11;20;25;26;19;21;7;1
"2020M11D25";"I alt";0;0;0;0;0;1;0;1;2;2;4;2;6;13;22;30;25;18;21;10;4
"2020M11D26";"I alt";0;0;0;0;2;0;3;1;2;0;3;5;11;9;23;25;24;28;14;7;2
"2020M11D27";"I alt";0;0;0;0;1;1;1;1;2;1;5;3;8;10;15;19;32;29;19;7;0
"2020M11D28";"I alt";0;0;0;1;0;0;0;0;1;1;2;6;10;10;17;28;29;26;17;11;1
"2020M11D29";"I alt";0;0;1;0;0;1;0;1;2;2;3;7;6;7;16;22;27;36;13;11;1
"2020M11D30";"I alt";0;0;0;0;1;0;1;0;0;2;1;8;4;15;19;26;27;21;20;6;0
"2020M12D01";"I alt";1;0;0;0;1;2;0;2;1;0;4;5;6;11;18;30;31;23;19;7;1
"2020M12D02";"I alt";0;0;0;0;0;1;3;1;1;1;2;3;9;14;21;18;17;33;16;7;2
"2020M12D03";"I alt";1;0;0;0;0;0;1;1;3;1;5;2;6;12;19;23;25;26;17;13;1
"2020M12D04";"I alt";1;0;0;0;2;0;2;0;4;4;3;9;10;10;19;33;27;36;26;10;1
"2020M12D05";"I alt";0;0;1;0;0;0;1;1;0;0;2;7;1;11;17;21;24;32;11;10;1
"2020M12D06";"I alt";0;0;0;0;0;0;1;1;0;3;2;4;7;11;20;21;30;23;21;5;1
"2020M12D07";"I alt";0;0;0;0;0;1;0;2;1;1;3;7;6;9;17;23;29;30;15;8;4
"2020M12D08";"I alt";0;1;0;0;0;0;0;0;3;2;1;5;8;14;23;22;25;33;26;12;0
"2020M12D09";"I alt";1;0;0;0;1;0;1;1;1;3;2;5;5;11;12;34;28;29;21;9;1
"2020M12D10";"I alt";0;0;0;0;0;0;2;3;0;2;2;7;5;10;15;21;14;25;26;10;1
"2020M12D11";"I alt";0;0;0;0;0;1;0;1;1;5;5;3;4;14;9;22;37;21;22;13;1
"2020M12D12";"I alt";1;0;0;0;0;1;0;0;0;2;2;4;8;11;16;25;24;26;15;1;4
"2020M12D13";"I alt";0;0;0;0;1;1;1;0;2;1;2;2;11;10;18;24;22;24;26;12;0
"2020M12D14";"I alt";1;0;1;0;0;0;1;0;0;0;2;11;7;15;23;37;37;23;20;10;7
"2020M12D15";"I alt";1;0;0;0;0;0;1;1;2;4;2;6;8;16;21;29;29;37;35;4;1
"2020M12D16";"I alt";2;0;0;0;0;0;0;0;1;0;4;6;10;12;21;21;28;28;25;10;3
