0 år;86952
1-4 år;48540
5-9 år;22523
10-14 år;21791
15-19 år;29856
20-24 år;38082
25-29 år;57227
30-34 år;58413
35-39 år;45903
40-44 år;44514
45-49 år;50469
50-54 år;68645
55-59 år;76591
60-64 år;87531
65-69 år;106019
70-74 år;140097
75-79 år;124679
80-84 år;103700
85- år;125271
