"Uge";"Aldersgruppe";"Testede pr. 100.000 borgere";"Positive pr. 100.000 borgere";"Nyindlagte pr. 100.000 borgere";"Antal testede";"Antal positive"
2021-W41;80+;2254;35;10,0;6534;102
2021-W42;00-02;1533;51;2,2;2845;94
2021-W42;03-05;4867;139;0,5;9108;261
2021-W42;06-11;9818;311;0,8;36163;1146
2021-W42;12-15;9027;166;0,4;24632;453
2021-W42;16-19;7128;113;1,5;19490;310
2021-W42;20-39;7722;170;3,4;114127;2512
2021-W42;40-64;9981;145;3,2;188711;2748
2021-W42;65-79;6552;108;6,8;59088;970
2021-W42;80+;4350;77;22,4;12611;224
2021-W43;00-02;2075;86;1,6;3850;160
2021-W43;03-05;7292;190;0,5;13647;356
2021-W43;06-11;12497;450;0,5;46032;1656
2021-W43;12-15;11728;229;1,1;32003;626
2021-W43;16-19;9891;206;1,5;27044;562
2021-W43;20-39;10914;232;3,9;161304;3425
2021-W43;40-64;13508;194;4,4;255390;3670
2021-W43;65-79;8204;136;10,2;73983;1230
2021-W43;80+;5419;91;19,0;15711;264
2021-W44;00-02;3448;104;6,0;6325;190
2021-W44;03-05;13731;280;0,5;25699;524
2021-W44;06-11;23964;947;2,2;88231;3486
2021-W44;12-15;17732;310;1,1;48333;846
2021-W44;16-19;12651;221;0,4;34664;605
2021-W44;20-39;13793;279;5,3;204323;4130
2021-W44;40-64;17149;242;5,7;324189;4569
2021-W44;65-79;9166;153;10,6;82774;1383
2021-W44;80+;5919;107;24,7;17284;311
2021-W45;00-02;4653;159;4,9;8535;291
2021-W45;03-05;17945;389;0,0;33586;729
2021-W45;06-11;30918;1339;1,6;113836;4929
2021-W45;12-15;22934;468;1,1;62512;1277
2021-W45;16-19;15672;304;1,8;42942;834
2021-W45;20-39;17854;402;4,5;264483;5956
2021-W45;40-64;22248;350;6,3;420594;6619
2021-W45;65-79;11491;203;16,4;103765;1830
2021-W45;80+;6685;130;33,6;19519;381
2021-W46;00-02;5615;200;10,9;10300;366
2021-W46;03-05;20924;528;1,6;39163;989
2021-W46;06-11;34986;1572;4,1;128812;5789
2021-W46;12-15;26072;559;0,7;71067;1524
2021-W46;16-19;16120;412;0,7;44169;1129
2021-W46;20-39;19548;496;6,1;289580;7350
2021-W46;40-64;24023;442;7,9;454153;8358
2021-W46;65-79;10909;253;16,3;98507;2285
2021-W46;80+;6295;155;43,8;18380;454
2021-W47;00-02;5909;205;8,7;10839;376
2021-W47;03-05;22391;560;2,1;41909;1049
2021-W47;06-11;36101;1683;2,4;132916;6198
2021-W47;12-15;25652;543;1,1;69922;1479
2021-W47;16-19;17207;411;1,5;47148;1127
2021-W47;20-39;20817;490;7,8;308387;7254
2021-W47;40-64;26230;463;8,3;495862;8758
2021-W47;65-79;11515;275;17,4;103983;2487
2021-W47;80+;6570;141;34,2;19184;411
2021-W48;00-02;6218;287;10,4;11407;526
2021-W48;03-05;23056;643;2,7;43153;1204
2021-W48;06-11;36016;1970;2,7;132603;7252
2021-W48;12-15;25661;606;2,6;69945;1651
2021-W48;16-19;17881;559;3,3;48995;1533
2021-W48;20-39;22634;604;7,8;335301;8945
2021-W48;40-64;27087;560;9,4;512068;10580
2021-W48;65-79;11401;282;19,5;102952;2542
2021-W48;80+;6767;126;34,6;19760;368
2021-W49;00-02;8186;378;11,3;15214;703
2021-W49;03-05;28931;978;2,7;54140;1831
2021-W49;06-11;39584;2593;5,4;145736;9546
2021-W49;12-15;29693;877;0,7;80847;2389
2021-W49;16-19;21771;882;2,2;59742;2420
2021-W49;20-39;25677;917;9,4;381552;13632
2021-W49;40-64;28741;782;11,0;543204;14786
2021-W49;65-79;11233;302;19,5;101436;2730
2021-W49;80+;7431;143;37,7;21669;417
2021-W50;00-02;10335;521;18,3;19209;968
2021-W50;03-05;33846;1251;1,6;63339;2341
2021-W50;06-11;39244;2779;6,2;144482;10230
2021-W50;12-15;31937;1400;6,2;86955;3812
2021-W50;16-19;28179;2011;6,9;77326;5517
2021-W50;20-39;29887;1738;12,4;444105;25829
2021-W50;40-64;29548;1245;12,9;558451;23536
2021-W50;65-79;11634;338;19,3;105059;3052
2021-W50;80+;8306;182;37,4;24221;530
2021-W51;00-02;8623;568;21,5;16028;1055
2021-W51;03-05;24594;1199;2,7;46025;2244
2021-W51;06-11;22094;1553;3,3;81343;5718
2021-W51;12-15;22847;1428;2,9;62207;3889
2021-W51;16-19;25131;2455;6,2;68962;6736
2021-W51;20-39;25864;1978;13,3;384334;29387
2021-W51;40-64;25162;1430;14,7;475551;27032
2021-W51;65-79;11758;357;20,6;106177;3225
2021-W51;80+;9283;217;40,8;27069;632
2021-W52;00-02;5729;952;42,5;10649;1770
2021-W52;03-05;15396;1852;4,8;28811;3465
2021-W52;06-11;15675;2257;4,6;57712;8311
2021-W52;12-15;18524;2423;3,7;50435;6598
2021-W52;16-19;21808;3453;6,9;59843;9474
2021-W52;20-39;22737;3199;21,3;337872;47538
2021-W52;40-64;23154;2085;18,0;437610;39412
2021-W52;65-79;11912;870;24,1;107571;7860
2021-W52;80+;11109;668;59,3;32393;1949
2022-W01;00-02;6834;1393;38,6;12738;2597
2022-W01;03-05;19210;2728;6,4;35931;5102
2022-W01;06-11;19611;2636;6,0;72148;9696
2022-W01;12-15;25195;3307;8,4;68608;9006
2022-W01;16-19;34793;6152;13,5;95500;16887
2022-W01;20-39;25850;3579;21,2;384719;53261
2022-W01;40-64;26307;1792;16,7;497087;33868
2022-W01;65-79;10555;537;24,2;95359;4853
2022-W01;80+;11172;481;58,3;32600;1403
2022-W02;00-02;12228;2641;57,4;22790;4922
2022-W02;03-05;33238;6259;20,9;62169;11706
2022-W02;06-11;29004;6773;10,9;106704;24918
2022-W02;12-15;31139;6749;10,3;84794;18378
2022-W02;16-19;28715;6288;17,1;78818;17258
2022-W02;20-39;24976;3765;26,7;371708;56038
2022-W02;40-64;27081;2323;17,9;511710;43894
2022-W02;65-79;9849;552;23,4;88980;4985
2022-W02;80+;10379;433;58,3;30285;1262
2022-W03;00-02;14563;3541;84,2;27143;6599
2022-W03;03-05;37347;8557;30,5;69854;16005
2022-W03;06-11;37862;11029;16,3;139294;40576
2022-W03;12-15;40988;11891;18,4;111613;32379
2022-W03;16-19;31773;9086;22,6;87211;24938
2022-W03;20-39;27239;5373;33,9;405392;79970
2022-W03;40-64;31208;3953;18,5;589696;74685
2022-W03;65-79;10829;917;25,3;97833;8286
2022-W03;80+;11155;565;69,2;32548;1648
2022-W04;00-02;11454;3273;80,5;21349;6100
2022-W04;03-05;27692;7680;28,9;51796;14364
2022-W04;06-11;29893;10538;18,8;109974;38767
2022-W04;12-15;32763;12178;23,1;89215;33162
2022-W04;16-19;23612;7864;21,9;64809;21586
2022-W04;20-39;23359;5561;36,6;347643;82765
2022-W04;40-64;27044;4586;26,8;511011;86656
2022-W04;65-79;10360;1356;30,2;93601;12251
2022-W04;80+;11221;882;87,0;32743;2574
2022-W05;00-02;9631;3331;97,6;17955;6210
2022-W05;03-05;22085;7387;24,6;41343;13828
2022-W05;06-11;21907;8748;18,8;80396;32105
2022-W05;12-15;22887;10359;23,5;62391;28239
2022-W05;16-19;16116;6673;27,7;44181;18295
2022-W05;20-39;19714;5666;39,3;293412;84335
2022-W05;40-64;23129;4859;30,9;436926;91794
2022-W05;65-79;10233;1918;47,9;92490;17336
2022-W05;80+;11724;1247;122,3;34232;3641
2022-W06;00-02;8608;3202;123,9;16048;5970
2022-W06;03-05;17114;5952;19,8;32037;11142
2022-W06;06-11;15527;6051;16,1;56980;22205
2022-W06;12-15;16647;7084;24,9;45380;19312
2022-W06;16-19;16018;7549;19,0;43912;20694
2022-W06;20-39;20418;7075;43,3;303889;105295
2022-W06;40-64;21457;5324;35,3;405347;100576
2022-W06;65-79;11052;2760;62,3;99886;24942
2022-W06;80+;12503;1806;163,0;36506;5273
2022-W07;00-02;5538;2127;116,9;10325;3965
2022-W07;03-05;9580;3177;17,6;17933;5948
2022-W07;06-11;8538;2864;7,1;31331;10510
2022-W07;12-15;8607;3522;9,9;23463;9602
2022-W07;16-19;9252;3874;16,8;25364;10621
2022-W07;20-39;14807;4961;39,8;220374;73834
2022-W07;40-64;16862;4657;34,3;318539;87969
2022-W07;65-79;10707;3254;80,7;96770;29408
2022-W07;80+;12218;2346;198,0;35674;6850
2022-W08;00-02;3311;1209;66,5;6173;2254
2022-W08;03-05;5181;1611;10,7;9699;3016
2022-W08;06-11;4665;1376;4,9;17121;5049
2022-W08;12-15;5084;1799;11,7;13859;4905
2022-W08;16-19;5914;2009;12,0;16213;5508
2022-W08;20-39;9625;2811;29,8;143256;41830
2022-W08;40-64;12436;3123;30,1;234931;59005
2022-W08;65-79;8952;2666;81,1;80912;24095
2022-W08;80+;10505;2107;198,6;30673;6151
2022-W09;00-02;1150;390;27,1;4285;1453
2022-W09;03-05;1817;499;4,3;6808;1868
2022-W09;06-11;1920;489;2,3;14073;3581
2022-W09;12-15;1957;618;3,1;10678;3374
2022-W09;16-19;2249;638;5,3;12332;3497
2022-W09;20-39;3374;900;10,5;100567;26839
2022-W09;40-64;4709;1160;12,5;177904;43819
2022-W09;65-79;3759;1145;37,5;68003;20709
2022-W09;80+;4471;911;92,0;26159;5327
2022-W10;00-02;712;202;15,3;2653;751
2022-W10;03-05;1159;221;2,1;4342;826
2022-W10;06-11;1518;288;1,8;11128;2109
2022-W10;12-15;1785;406;3,5;9735;2215
2022-W10;16-19;2001;423;3,1;10972;2320
2022-W10;20-39;2808;634;7,1;83720;18885
2022-W10;40-64;3731;862;10,0;140960;32568
2022-W10;65-79;3170;905;31,6;57343;16366
2022-W10;80+;3860;740;81,7;22581;4329
2022-W11;00-02;385;88;10,5;1435;326
2022-W11;03-05;619;84;1,3;2319;315
2022-W11;06-11;894;115;0,7;6555;846
2022-W11;12-15;1112;185;1,8;6065;1007
2022-W11;16-19;1167;190;3,6;6402;1041
2022-W11;20-39;1879;358;5,6;56017;10666
2022-W11;40-64;2528;563;8,8;95499;21282
2022-W11;65-79;2356;662;24,7;42628;11981
2022-W11;80+;3156;570;74,5;18465;3334
