Kommune;Population;Year;Quarter
Helsingør;63047;2020;4
Helsingør;63000;2021;1
Helsingør;63063;2021;2
Helsingør;63158;2021;3
Helsingør;63097;2021;4
Helsingør;62875;2022;1
Hillerød;51183;2020;1
Hillerød;51176;2020;2
Hillerød;51234;2020;3
Hillerød;51261;2020;4
Hillerød;51528;2021;1
Hillerød;51746;2021;2
Hillerød;52116;2021;3
Hillerød;52706;2021;4
Hillerød;53257;2022;1
Hørsholm;24864;2020;1
Hørsholm;24828;2020;2
Hørsholm;24814;2020;3
Hørsholm;24919;2020;4
Hørsholm;24917;2021;1
Hørsholm;24810;2021;2
Hørsholm;24798;2021;3
Hørsholm;24751;2021;4
Hørsholm;24761;2022;1
Rudersdal;56728;2020;1
Rudersdal;56638;2020;2
Rudersdal;56623;2020;3
Rudersdal;56873;2020;4
Rudersdal;57024;2021;1
Rudersdal;57009;2021;2
Rudersdal;57195;2021;3
Rudersdal;57349;2021;4
Rudersdal;57247;2022;1
Bornholm;39499;2020;1
Bornholm;39439;2020;2
Bornholm;39497;2020;3
Bornholm;39519;2020;4
Bornholm;39570;2021;1
Bornholm;39654;2021;2
Bornholm;39739;2021;3
Bornholm;39610;2021;4
Bornholm;39545;2022;1
Christiansø;84;2020;1
Christiansø;85;2020;2
Christiansø;87;2020;3
Christiansø;90;2020;4
Christiansø;90;2021;1
Christiansø;88;2021;2
Christiansø;89;2021;3
Christiansø;94;2021;4
Christiansø;93;2022;1
Greve;50558;2020;1
Greve;50452;2020;2
Greve;50520;2020;3
Greve;50561;2020;4
Greve;50514;2021;1
Greve;50541;2021;2
Greve;50681;2021;3
Greve;50701;2021;4
Greve;50818;2022;1
Køge;60979;2020;1
Køge;61135;2020;2
Køge;61184;2020;3
Køge;61323;2020;4
Køge;61475;2021;1
Køge;61525;2021;2
Køge;61655;2021;3
Køge;61706;2021;4
Køge;61718;2022;1
Lejre;27996;2020;1
Lejre;27986;2020;2
Lejre;28107;2020;3
Lejre;28133;2020;4
Lejre;28173;2021;1
Lejre;28383;2021;2
Lejre;28504;2021;3
Lejre;28630;2021;4
Lejre;28623;2022;1
Roskilde;87914;2020;1
Roskilde;88276;2020;2
Roskilde;88456;2020;3
Roskilde;88758;2020;4
Roskilde;88889;2021;1
Roskilde;88765;2021;2
Roskilde;88989;2021;3
Roskilde;89208;2021;4
Roskilde;89447;2022;1
Solrød;23255;2020;1
Solrød;23250;2020;2
Solrød;23347;2020;3
Solrød;23394;2020;4
Solrød;23441;2021;1
Solrød;23473;2021;2
Solrød;23492;2021;3
Solrød;23597;2021;4
Solrød;23794;2022;1
Faxe;36576;2020;1
Faxe;36557;2020;2
Faxe;36647;2020;3
Faxe;36605;2020;4
Faxe;36713;2021;1
Faxe;36803;2021;2
Faxe;36979;2021;3
Faxe;37062;2021;4
Faxe;37161;2022;1
Guldborgsund;60722;2020;1
Guldborgsund;60551;2020;2
Guldborgsund;60433;2020;3
Guldborgsund;60309;2020;4
Guldborgsund;60328;2021;1
Guldborgsund;60345;2021;2
Guldborgsund;60478;2021;3
Guldborgsund;60317;2021;4
Guldborgsund;60310;2022;1
Holbæk;71541;2020;1
Holbæk;71558;2020;2
Holbæk;71685;2020;3
Holbæk;71812;2020;4
Holbæk;71913;2021;1
Holbæk;72030;2021;2
Holbæk;72495;2021;3
Holbæk;72662;2021;4
Holbæk;72810;2022;1
Kalundborg;48436;2020;1
Kalundborg;48376;2020;2
Kalundborg;48374;2020;3
Kalundborg;48415;2020;4
Kalundborg;48487;2021;1
Kalundborg;48445;2021;2
Kalundborg;48427;2021;3
Kalundborg;48430;2021;4
Kalundborg;48368;2022;1
Lolland;41105;2020;1
Lolland;40966;2020;2
Lolland;40816;2020;3
Lolland;40618;2020;4
Lolland;40539;2021;1
Lolland;40395;2021;2
Lolland;40331;2021;3
Lolland;40241;2021;4
Lolland;40107;2022;1
Næstved;83143;2020;1
Næstved;83097;2020;2
Næstved;83165;2020;3
Næstved;83049;2020;4
Næstved;83181;2021;1
Næstved;83327;2021;2
Næstved;83492;2021;3
Næstved;83650;2021;4
Næstved;83801;2022;1
Odsherred;32957;2020;1
Odsherred;32905;2020;2
Odsherred;32955;2020;3
Odsherred;32857;2020;4
Odsherred;32923;2021;1
Odsherred;32923;2021;2
Odsherred;32964;2021;3
Odsherred;32960;2021;4
Odsherred;32881;2022;1
Ringsted;34852;2020;1
Ringsted;34795;2020;2
Ringsted;34852;2020;3
Ringsted;34872;2020;4
Ringsted;34847;2021;1
Ringsted;35005;2021;2
Ringsted;35072;2021;3
Ringsted;35133;2021;4
Ringsted;35141;2022;1
Slagelse;79073;2020;1
Slagelse;79176;2020;2
Slagelse;79155;2020;3
Slagelse;79106;2020;4
Slagelse;79122;2021;1
Slagelse;79287;2021;2
Slagelse;79555;2021;3
Slagelse;79644;2021;4
Slagelse;79691;2022;1
Sorø;29881;2020;1
Sorø;29882;2020;2
Sorø;29872;2020;3
Sorø;29977;2020;4
Sorø;29993;2021;1
Sorø;29933;2021;2
Sorø;29944;2021;3
Sorø;29970;2021;4
Sorø;30018;2022;1
Stevns;22805;2020;1
Stevns;22800;2020;2
Stevns;22840;2020;3
Stevns;22975;2020;4
Stevns;23034;2021;1
Stevns;23205;2021;2
Stevns;23284;2021;3
Stevns;23393;2021;4
Stevns;23473;2022;1
Vordingborg;45566;2020;1
Vordingborg;45463;2020;2
Vordingborg;45426;2020;3
Vordingborg;45365;2020;4
Vordingborg;45268;2021;1
Vordingborg;45234;2021;2
Vordingborg;45337;2021;3
Vordingborg;45377;2021;4
Vordingborg;45352;2022;1
Assens;40965;2020;1
Assens;40920;2020;2
Assens;40903;2020;3
Assens;40791;2020;4
Assens;40867;2021;1
Assens;40880;2021;2
Assens;40838;2021;3
Assens;40861;2021;4
Assens;40972;2022;1
Faaborg-Midtfyn;51556;2020;1
Faaborg-Midtfyn;51519;2020;2
Faaborg-Midtfyn;51571;2020;3
Faaborg-Midtfyn;51562;2020;4
Faaborg-Midtfyn;51683;2021;1
Faaborg-Midtfyn;51639;2021;2
Faaborg-Midtfyn;51787;2021;3
Faaborg-Midtfyn;51788;2021;4
Faaborg-Midtfyn;51849;2022;1
Kerteminde;23812;2020;1
Kerteminde;23839;2020;2
Kerteminde;23824;2020;3
Kerteminde;23833;2020;4
Kerteminde;23847;2021;1
Kerteminde;23835;2021;2
Kerteminde;23914;2021;3
Kerteminde;24006;2021;4
Kerteminde;24034;2022;1
Langeland;12491;2020;1
Langeland;12425;2020;2
Langeland;12395;2020;3
Langeland;12350;2020;4
Langeland;12367;2021;1
Langeland;12361;2021;2
Langeland;12373;2021;3
Langeland;12320;2021;4
Langeland;12316;2022;1
Middelfart;38853;2020;1
Middelfart;38955;2020;2
Middelfart;38998;2020;3
Middelfart;39026;2020;4
Middelfart;39116;2021;1
Middelfart;39290;2021;2
Middelfart;39433;2021;3
Middelfart;39520;2021;4
Middelfart;39603;2022;1
Nordfyns;29665;2020;1
Nordfyns;29662;2020;2
Nordfyns;29631;2020;3
Nordfyns;29586;2020;4
Nordfyns;29549;2021;1
Nordfyns;29527;2021;2
Nordfyns;29594;2021;3
Nordfyns;29664;2021;4
Nordfyns;29714;2022;1
Nyborg;32009;2020;1
Nyborg;31973;2020;2
Nyborg;31933;2020;3
Nyborg;31918;2020;4
Nyborg;31933;2021;1
Nyborg;31965;2021;2
Nyborg;32017;2021;3
Nyborg;32055;2021;4
Nyborg;32098;2022;1
Odense;204895;2020;1
Odense;205106;2020;2
Odense;204718;2020;3
Odense;205881;2020;4
Odense;205509;2021;1
Odense;205018;2021;2
Odense;204795;2021;3
Odense;205905;2021;4
Odense;205978;2022;1
Svendborg;58296;2020;1
Svendborg;58345;2020;2
Svendborg;58261;2020;3
Svendborg;58355;2020;4
Svendborg;58588;2021;1
Svendborg;58847;2021;2
Svendborg;58909;2021;3
Svendborg;59096;2021;4
Svendborg;59193;2022;1
Ærø;5964;2020;1
Ærø;5971;2020;2
Ærø;5987;2020;3
Ærø;5958;2020;4
Ærø;5960;2021;1
Ærø;6004;2021;2
Ærø;6016;2021;3
Ærø;6012;2021;4
Ærø;6025;2022;1
Billund;26608;2020;1
Billund;26586;2020;2
Billund;26560;2020;3
Billund;26529;2020;4
Billund;26551;2021;1
Billund;26488;2021;2
Billund;26576;2021;3
Billund;26581;2021;4
Billund;26631;2022;1
Esbjerg;115483;2020;1
Esbjerg;115657;2020;2
Esbjerg;115650;2020;3
Esbjerg;115498;2020;4
Esbjerg;115579;2021;1
Esbjerg;115577;2021;2
Esbjerg;115529;2021;3
Esbjerg;115470;2021;4
Esbjerg;115459;2022;1
Fanø;3488;2020;1
Fanø;3477;2020;2
Fanø;3486;2020;3
Fanø;3449;2020;4
Fanø;3456;2021;1
Fanø;3449;2021;2
Fanø;3451;2021;3
Fanø;3436;2021;4
Fanø;3427;2022;1
Fredericia;51377;2020;1
Fredericia;51408;2020;2
Fredericia;51386;2020;3
Fredericia;51281;2020;4
Fredericia;51275;2021;1
Fredericia;51370;2021;2
Fredericia;51521;2021;3
Fredericia;51536;2021;4
Fredericia;51606;2022;1
Haderslev;55670;2020;1
Haderslev;55655;2020;2
Haderslev;55518;2020;3
Haderslev;55446;2020;4
Haderslev;55376;2021;1
Haderslev;55339;2021;2
Haderslev;55403;2021;3
Haderslev;55351;2021;4
Haderslev;55340;2022;1
Kolding;93175;2020;1
Kolding;93193;2020;2
Kolding;92995;2020;3
Kolding;93092;2020;4
Kolding;93161;2021;1
Kolding;93119;2021;2
Kolding;93061;2021;3
Kolding;93318;2021;4
Kolding;93544;2022;1
Sønderborg;74220;2020;1
Sønderborg;74150;2020;2
Sønderborg;74083;2020;3
Sønderborg;73888;2020;4
Sønderborg;73831;2021;1
Sønderborg;73796;2021;2
Sønderborg;73717;2021;3
Sønderborg;73685;2021;4
Sønderborg;73711;2022;1
Tønder;37366;2020;1
Tønder;37249;2020;2
Tønder;37174;2020;3
Tønder;37122;2020;4
Tønder;37050;2021;1
Tønder;37022;2021;2
Tønder;37021;2021;3
Tønder;36886;2021;4
Tønder;36849;2022;1
Varde;49961;2020;1
Varde;49939;2020;2
Varde;49886;2020;3
Varde;49671;2020;4
Varde;49628;2021;1
Varde;49683;2021;2
Varde;49746;2021;3
Varde;49660;2021;4
Varde;49664;2022;1
Vejen;42742;2020;1
Vejen;42716;2020;2
Vejen;42805;2020;3
Vejen;42767;2020;4
Vejen;42790;2021;1
Vejen;42763;2021;2
Vejen;42788;2021;3
Vejen;42689;2021;4
Vejen;42596;2022;1
