"2020M10D07";116;15;14
"2020M10D08";115;17;14
"2020M10D09";106;18;13
"2020M10D10";103;20;13
"2020M10D11";102;19;13
"2020M10D12";107;19;13
"2020M10D13";103;19;14
"2020M10D14";104;17;11
"2020M10D15";104;17;12
"2020M10D16";110;16;11
"2020M10D17";110;16;10
"2020M10D18";119;17;11
"2020M10D19";129;18;11
"2020M10D20";128;15;9
"2020M10D21";122;16;9
"2020M10D22";124;17;12
"2020M10D23";125;18;13
"2020M10D24";120;17;14
"2020M10D25";127;18;15
"2020M10D26";145;17;12
"2020M10D27";137;19;14
"2020M10D28";136;18;15
"2020M10D29";139;17;15
"2020M10D30";144;17;14
"2020M10D31";147;19;14
"2020M11D01";156;19;14
"2020M11D02";174;23;14
"2020M11D03";169;22;14
"2020M11D04";184;24;17
"2020M11D05";182;24;17
"2020M11D06";191;23;17
"2020M11D07";187;29;20
"2020M11D08";188;30;18
"2020M11D09";196;33;21
"2020M11D10";211;33;21
"2020M11D11";216;40;22
"2020M11D12";239;44;29
"2020M11D13";236;40;27
"2020M11D14";243;41;30
"2020M11D15";259;45;29
"2020M11D16";267;44;27
"2020M11D17";259;41;26
"2020M11D18";248;43;26
"2020M11D19";255;41;21
"2020M11D20";244;39;20
"2020M11D21";237;40;21
"2020M11D22";254;39;22
"2020M11D23";261;41;22
"2020M11D24";255;40;23
"2020M11D25";251;42;21
"2020M11D26";244;42;23
"2020M11D27";254;46;29
"2020M11D28";249;42;27
"2020M11D29";256;43;28
"2020M11D30";259;44;28
"2020M12D01";254;38;24
"2020M12D02";266;36;27
"2020M12D03";267;38;28
"2020M12D04";293;40;27
"2020M12D05";279;39;25
"2020M12D06";302;42;26
"2020M12D07";328;43;29
"2020M12D08";354;42;26
"2020M12D09";349;39;26
"2020M12D10";342;40;28
"2020M12D11";361;48;27
"2020M12D12";371;54;31
"2020M12D13";390;58;33
"2020M12D14";429;61;34
"2020M12D15";439;68;39
"2020M12D16";493;68;40
"2020M12D17";516;76;46
"2020M12D18";568;79;52
"2020M12D19";606;86;53
"2020M12D20";661;87;55
"2020M12D21";713;87;53
"2020M12D22";723;83;48
"2020M12D23";720;91;53
"2020M12D24";724;97;57
"2020M12D25";726;98;61
"2020M12D26";776;96;62
"2020M12D27";817;102;65
"2020M12D28";872;113;66
"2020M12D29";900;128;73
"2020M12D30";926;136;87
"2020M12D31";879;132;87
"2021M01D01";885;129;80
"2021M01D02";944;136;84
"2021M01D03";937;136;87
"2021M01D04";964;140;84
"2021M01D05";942;141;85
"2021M01D06";886;137;84
"2021M01D07";861;134;80
"2021M01D08";864;138;79
"2021M01D09";833;132;79
"2021M01D10";875;138;84
"2021M01D11";920;138;88
"2021M01D12";917;135;90
"2021M01D13";859;137;90
"2021M01D14";..;..;..
"2021M01D15";792;129;87
"2021M01D16";779;137;86
"2021M01D17";799;131;84
"2021M01D18";817;132;85
"2021M01D19";792;132;88
"2021M01D20";771;132;88
"2021M01D21";745;136;87
"2021M01D22";745;130;87
"2021M01D23";703;125;85
"2021M01D24";725;124;82
"2021M01D25";738;123;78
"2021M01D26";684;119;89
