"Hele landet";"I alt";"Mænd";"26 år";36238;36689;37126;37513;37992;38472;38702;39341;39611;39623;39984;39848;39685;40210;40444;41146;41542;41498;41479;41400;40937;40776;40981;40934;41871;42034;41802;42294
"Hele landet";"I alt";"Mænd";"27 år";34884;35404;35803;36611;37034;37427;37793;38057;38426;38940;39063;39651;39988;39837;40180;40049;39898;40461;40694;41289;41554;41380;41158;41157;40772;40657;41024;41128
"Hele landet";"I alt";"Mænd";"28 år";34479;34869;35213;35413;35678;36088;36413;37084;37465;37754;38154;38409;38737;39231;39343;39894;40156;40034;40277;40162;39904;40328;40488;40971;41395;41243;41159;41270
"Hele landet";"I alt";"Mænd";"29 år";33331;33841;34358;34766;35087;35457;35851;35896;36085;36468;36675;37249;37639;37932;38357;38598;38972;39353;39567;39906;40085;39897;39987;39906;39766;40228;40526;41179
"Hele landet";"I alt";"Mænd";"30 år";32308;32501;32972;33552;33978;34451;34876;35302;35526;35862;36120;36232;36313;36624;36799;37436;37768;38103;38483;38608;38816;39196;39268;39662;39979;39853;40092;40027
"Hele landet";"I alt";"Mænd";"31 år";31384;31927;32291;32592;32883;33032;33484;33976;34270;34759;35173;35494;35720;36002;36278;36316;36357;36688;36903;37456;37747;38011;38222;38313;38689;39064;39286;39779
"Hele landet";"I alt";"Mænd";"32 år";32363;32106;32044;32197;31955;32392;32710;32989;33238;33371;33706;34169;34477;34840;35264;35513;35744;36038;36311;36235;36217;36487;36584;37228;37703;37962;38315;38459
"Hele landet";"I alt";"Mænd";"33 år";31864;32147;32373;32332;32842;32536;32456;32547;32241;32661;32974;33207;33344;33419;33721;34247;34553;34912;35250;35486;35612;35890;36080;36062;36182;36575;36843;37547
"Hele landet";"I alt";"Mænd";"34 år";33607;33114;32653;32480;32279;32588;32651;32583;33032;32728;32653;32723;32373;32825;33030;33297;33424;33540;33838;34231;34443;34783;35127;35411;35643;35922;36192;36285
"Hele landet";"I alt";"Mænd";"35 år";34313;34272;34273;34230;34043;33470;32962;32799;32517;32802;32868;32792;33208;32870;32804;32868;32535;32906;33088;33239;33311;33349;33629;34135;34428;34851;35288;35614
"Hele landet";"I alt";"Mænd";"36 år";35237;35181;34891;34749;34660;34598;34545;34507;34260;33678;33108;32935;32657;32923;32933;32883;33355;32969;32874;32795;32379;32722;32877;33078;33315;33400;33757;34280
"Hele landet";"I alt";"Mænd";"37 år";34979;34946;35533;35693;35528;35429;35151;34986;34860;34729;34634;34571;34281;33814;33255;33031;32680;32951;32982;32887;33255;32809;32702;32692;32415;32784;33008;33234
"Hele landet";"I alt";"Mænd";"38 år";36509;36012;35483;35148;35273;35187;35707;35843;35704;35586;35266;35061;34909;34796;34749;34711;34418;33920;33290;33013;32673;32877;32825;32771;33227;32850;32789;32832
"Hele landet";"I alt";"Mænd";"39 år";39003;38622;38197;37437;36820;36285;35715;35319;35341;35301;35775;35956;35800;35666;35361;35164;35070;34908;34815;34670;34359;33804;33128;32879;32593;32872;32912;32907
"Hele landet";"I alt";"Mænd";"40 år";38556;38694;38988;39408;39242;38837;38366;37644;36920;36366;35753;35357;35395;35369;35883;36062;35825;35698;35392;35135;34974;34787;34650;34586;34312;33784;33227;33075
"Hele landet";"I alt";"Mænd";"41 år";38565;38481;38479;38637;38774;38922;39166;39518;39358;38990;38491;37686;36982;36394;35804;35400;35467;35443;35917;36050;35753;35597;35257;35061;34949;34807;34726;34692
"Hele landet";"I alt";"Mænd";"42 år";40171;39908;39192;38768;38729;38598;38593;38767;38916;39013;39201;39631;39430;38987;38537;37742;36995;36379;35799;35415;35440;35366;35781;35972;35748;35618;35305;35127
"Hele landet";"I alt";"Mænd";"43 år";40011;40649;40985;40901;40334;40042;39309;38834;38743;38610;38620;38764;38935;39052;39219;39665;39463;38994;38516;37662;36910;36317;35698;35357;35445;35441;35899;36071
"Hele landet";"I alt";"Mænd";"44 år";38187;38545;39251;39803;40190;40802;41086;40985;40394;40089;39304;38854;38777;38665;38678;38805;38963;39084;39269;39630;39408;38925;38423;37609;36918;36355;35810;35412
"Hele landet";"I alt";"Mænd";"45 år";38193;37775;37802;38008;38310;38649;39379;39852;40220;40837;41116;41045;40415;40120;39317;38890;38790;38669;38655;38810;38932;39028;39147;39563;39405;38947;38487;37725
"Hele landet";"I alt";"Mænd";"46 år";39701;39338;38739;38552;38288;37859;37879;38074;38352;38717;39341;39847;40222;40844;41153;41061;40416;40086;39290;38861;38709;38584;38560;38719;38900;39006;39184;39625
"Hele landet";"I alt";"Mænd";"47 år";42190;41350;40846;40220;39766;39421;38801;38599;38325;37869;37879;38040;38291;38662;39312;39808;40196;40809;41098;40950;40308;39999;39187;38766;38645;38591;38601;38780
"Hele landet";"I alt";"Mænd";"48 år";45251;45038;44556;43477;42165;41334;40857;40214;39766;39422;38797;38551;38293;37807;37819;37971;38211;38620;39249;39751;40095;40701;40989;40867;40302;39972;39201;38778
"Hele landet";"I alt";"Mænd";"49 år";43687;44039;44535;44878;45296;45076;44554;43484;42144;41324;40792;40168;39705;39334;38753;38508;38225;37715;37737;37883;38101;38497;39053;39617;40009;40651;41017;40888
"Hele landet";"I alt";"Mænd";"50 år";42752;42735;43078;43525;43661;43999;44497;44863;45246;44999;44479;43442;42104;41269;40722;40087;39650;39309;38673;38389;38111;37599;37636;37777;38047;38446;39071;39657
"Hele landet";"I alt";"Mænd";"51 år";41509;42133;42125;42340;42697;42698;43012;43467;43561;43921;44423;44757;45140;44905;44408;43339;42011;41178;40645;40013;39539;39156;38515;38300;38024;37559;37617;37785
"Hele landet";"I alt";"Mænd";"52 år";39126;39445;40093;40682;41366;42030;42031;42246;42595;42590;42906;43395;43458;43797;44268;44590;45003;44749;44266;43202;41893;41031;40476;39849;39412;39076;38505;38302
"Hele landet";"I alt";"Mænd";"53 år";37885;38259;38606;38983;38996;39287;39982;40595;41312;41939;41913;42140;42473;42470;42814;43237;43327;43660;44111;44459;44836;44597;44123;43035;41776;40929;40408;39775
"Hele landet";"I alt";"Mænd";"54 år";37828;37758;37714;37566;37722;38144;38470;38848;38867;39177;39861;40469;41188;41808;41777;41989;42302;42322;42660;43072;43154;43485;43946;44294;44678;44471;44024;42978
"Hele landet";"I alt";"Mænd";"55 år";35913;36154;36783;37356;37697;37598;37548;37389;37559;37976;38308;38655;38673;38998;39681;40324;41012;41627;41591;41812;42118;42109;42417;42862;43013;43365;43832;44190
"Hele landet";"I alt";"Mænd";"56 år";35968;35947;35550;35994;35776;35967;36610;37167;37488;37382;37323;37180;37343;37775;38139;38490;38510;38857;39527;40147;40823;41443;41388;41580;41925;41942;42299;42749
"Hele landet";"I alt";"Mænd";"57 år";35530;35754;36003;35532;35783;35779;35376;35784;35523;35727;36345;36893;37267;37150;37081;36935;37135;37559;37943;38276;38273;38644;39299;39962;40650;41248;41205;41444
"Hele landet";"I alt";"Mænd";"58 år";35477;35320;35431;35313;35285;35514;35780;35339;35569;35518;35121;35537;35279;35479;36104;36668;36986;36876;36794;36708;36902;37346;37704;38031;38044;38459;39129;39737
"Hele landet";"I alt";"Mænd";"59 år";34927;34949;34856;35044;35250;35093;35178;35077;35041;35309;35504;35078;35292;35241;34845;35286;35028;35225;35854;36385;36703;36603;36554;36498;36708;37099;37439;37790
"Hele landet";"I alt";"Mænd";"60 år";33666;33895;34174;34525;34648;34688;34580;34750;34955;34796;34888;34769;34759;35021;35219;34769;35017;34966;34580;34988;34730;34953;35546;36082;36435;36369;36336;36257
"Hele landet";"I alt";"Mænd";"61 år";34098;33823;33547;33306;33301;33573;33842;34225;34328;34363;34267;34481;34641;34461;34602;34478;34499;34734;34901;34494;34694;34634;34263;34680;34459;34689;35282;35812
"Hele landet";"I alt";"Mænd";"62 år";33199;33660;33871;34095;33757;33479;33187;32971;32993;33282;33508;33858;33997;34028;33911;34123;34320;34120;34302;34143;34149;34411;34587;34186;34395;34359;34010;34407
"Hele landet";"I alt";"Mænd";"63 år";32584;32185;32334;32611;32844;33322;33542;33757;33418;33109;32847;32628;32641;32919;33130;33471;33589;33630;33518;33757;33927;33740;33915;33745;33769;34045;34243;33860
"Hele landet";"I alt";"Mænd";"64 år";32869;32713;32399;32029;32216;31756;31901;32190;32439;32898;33152;33372;33043;32711;32439;32237;32247;32537;32775;33097;33161;33215;33126;33382;33573;33380;33542;33369
"Hele landet";"I alt";"Mænd";"65 år";32402;32546;32679;32598;32451;32308;31962;31606;31760;31335;31488;31770;32027;32523;32765;32973;32642;32310;32037;31830;31825;32097;32344;32679;32767;32845;32755;32974
"Hele landet";"I alt";"Mænd";"66 år";33917;33298;32797;32186;31925;32063;32225;32110;31961;31856;31543;31197;31310;30892;31051;31272;31561;32074;32302;32529;32169;31841;31549;31382;31371;31674;31917;32243
"Hele landet";"I alt";"Mænd";"67 år";35633;34994;34202;33848;33428;32799;32238;31667;31388;31536;31705;31635;31509;31373;31035;30706;30842;30365;30519;30773;31049;31584;31809;32022;31672;31356;31117;30957
"Hele landet";"I alt";"Mænd";"68 år";36364;36015;35690;35431;35062;34414;33650;33260;32876;32259;31719;31159;30873;31001;31170;31078;30960;30832;30499;30185;30315;29817;29985;30242;30565;31104;31304;31509
"Hele landet";"I alt";"Mænd";"69 år";34492;35094;35804;35943;35707;35377;35047;34794;34429;33836;33082;32669;32304;31707;31163;30581;30266;30403;30569;30510;30376;30249;29908;29580;29745;29296;29482;29684
