"I alt";"Hele landet";"2021K1";"96 år";549;1931
"I alt";"Hele landet";"2021K1";"97 år";345;1385
"I alt";"Hele landet";"2021K1";"98 år";203;898
"I alt";"Hele landet";"2021K1";"99 år";124;682
"I alt";"Hele landet";"2021K1";"100 år";81;450
"I alt";"Hele landet";"2021K1";"101 år";48;250
"I alt";"Hele landet";"2021K1";"102 år";32;141
"I alt";"Hele landet";"2021K1";"103 år";6;75
"I alt";"Hele landet";"2021K1";"104 år";9;55
"I alt";"Hele landet";"2021K1";"105 år";2;25
"I alt";"Hele landet";"2021K1";"106 år";2;12
"I alt";"Hele landet";"2021K1";"107 år";0;8
"I alt";"Hele landet";"2021K1";"108 år";0;4
"I alt";"Hele landet";"2021K1";"109 år";0;0
"I alt";"Hele landet";"2021K1";"110 år";0;1
"I alt";"Hele landet";"2021K1";"111 år";0;0
"I alt";"Hele landet";"2021K1";"112 år";0;0
"I alt";"Hele landet";"2021K1";"113 år";0;0
"I alt";"Hele landet";"2021K1";"114 år";0;0
"I alt";"Hele landet";"2021K1";"115 år";0;0
"I alt";"Hele landet";"2021K1";"116 år";0;0
"I alt";"Hele landet";"2021K1";"117 år";0;0
"I alt";"Hele landet";"2021K1";"118 år";0;0
"I alt";"Hele landet";"2021K1";"119 år";0;0
"I alt";"Hele landet";"2021K1";"120 år";0;0
"I alt";"Hele landet";"2021K1";"121 år";0;0
"I alt";"Hele landet";"2021K1";"122 år";0;0
"I alt";"Hele landet";"2021K1";"123 år";0;0
"I alt";"Hele landet";"2021K1";"124 år";0;0
"I alt";"Hele landet";"2021K1";"125 år";0;0
