Aldersgruppe;Date;Variable;Total;Weekly_diff
30-39;2020-11-04;positive;  7215; 1033
30-39;2020-11-04;testede;407046;16398
40-49;2020-11-04;positive;  7990; 1231
40-49;2020-11-04;testede;421090;18634
50-59;2020-11-04;positive;  7755; 1080
50-59;2020-11-04;testede;410972;17639
60-69;2020-11-04;positive;  4149;  514
60-69;2020-11-04;testede;293420;12322
70-79;2020-11-04;positive;  2685;  317
70-79;2020-11-04;testede;215074; 8712
80-89;2020-11-04;positive;  1394;   99
80-89;2020-11-04;testede; 84401; 3156
90+;2020-11-04;positive;   405;   29
90+;2020-11-04;testede; 17650;  660
0-9;2020-11-11;positive;  3018;  505
0-9;2020-11-11;testede;244858;15741
10-19;2020-11-11;positive;  8907; 1354
10-19;2020-11-11;testede;426456;22843
20-29;2020-11-11;positive; 11528; 1434
20-29;2020-11-11;testede;492197;17409
30-39;2020-11-11;positive;  8140;  925
30-39;2020-11-11;testede;423814;16768
40-49;2020-11-11;positive;  9026; 1036
40-49;2020-11-11;testede;440777;19687
50-59;2020-11-11;positive;  8784; 1029
50-59;2020-11-11;testede;430995;20023
60-69;2020-11-11;positive;  4672;  523
60-69;2020-11-11;testede;309444;16024
70-79;2020-11-11;positive;  2965;  280
70-79;2020-11-11;testede;226956;11882
80-89;2020-11-11;positive;  1495;  101
80-89;2020-11-11;testede; 88205; 3804
90+;2020-11-11;positive;   428;   23
90+;2020-11-11;testede; 18306;  656
0-9;2020-11-18;positive;  3561;  543
0-9;2020-11-18;testede;259742;14884
10-19;2020-11-18;positive; 10427; 1520
10-19;2020-11-18;testede;447713;21257
20-29;2020-11-18;positive; 13095; 1567
20-29;2020-11-18;testede;508466;16269
30-39;2020-11-18;positive;  9203; 1063
30-39;2020-11-18;testede;439308;15494
40-49;2020-11-18;positive; 10228; 1202
40-49;2020-11-18;testede;458936;18159
50-59;2020-11-18;positive;  9969; 1185
50-59;2020-11-18;testede;449702;18707
60-69;2020-11-18;positive;  5293;  621
60-69;2020-11-18;testede;324891;15447
70-79;2020-11-18;positive;  3263;  298
70-79;2020-11-18;testede;239198;12242
80-89;2020-11-18;positive;  1608;  113
80-89;2020-11-18;testede; 92779; 4574
90+;2020-11-18;positive;   458;   30
90+;2020-11-18;testede; 19071;  765
0-9;2020-11-25;positive;  4054;  493
0-9;2020-11-25;testede;273935;14193
10-19;2020-11-25;positive; 12013; 1586
10-19;2020-11-25;testede;467514;19801
20-29;2020-11-25;positive; 14579; 1484
20-29;2020-11-25;testede;522177;13711
30-39;2020-11-25;positive; 10350; 1147
30-39;2020-11-25;testede;453133;13825
40-49;2020-11-25;positive; 11450; 1222
40-49;2020-11-25;testede;475358;16422
50-59;2020-11-25;positive; 11138; 1169
50-59;2020-11-25;testede;466224;16522
60-69;2020-11-25;positive;  5891;  598
60-69;2020-11-25;testede;338696;13805
70-79;2020-11-25;positive;  3633;  370
70-79;2020-11-25;testede;250572;11374
80-89;2020-11-25;positive;  1778;  170
80-89;2020-11-25;testede; 97161; 4382
90+;2020-11-25;positive;   509;   51
90+;2020-11-25;testede; 20057;  986
0-9;2020-12-02;positive;  4715;  661
0-9;2020-12-02;testede;287042;13107
10-19;2020-12-02;positive; 13935; 1922
10-19;2020-12-02;testede;484636;17122
20-29;2020-12-02;positive; 16456; 1877
20-29;2020-12-02;testede;535328;13151
30-39;2020-12-02;positive; 11593; 1243
30-39;2020-12-02;testede;465844;12711
40-49;2020-12-02;positive; 12897; 1447
40-49;2020-12-02;testede;490237;14879
50-59;2020-12-02;positive; 12469; 1331
50-59;2020-12-02;testede;481771;15547
60-69;2020-12-02;positive;  6551;  660
60-69;2020-12-02;testede;351312;12616
70-79;2020-12-02;positive;  4028;  395
70-79;2020-12-02;testede;260806;10234
80-89;2020-12-02;positive;  1940;  162
80-89;2020-12-02;testede;101200; 4039
90+;2020-12-02;positive;   556;   47
90+;2020-12-02;testede; 20810;  753
0-9;2020-12-09;positive;  5610;  895
0-9;2020-12-09;testede;299980;12938
10-19;2020-12-09;positive; 17104; 3169
10-19;2020-12-09;testede;502615;17979
20-29;2020-12-09;positive; 19545; 3089
20-29;2020-12-09;testede;551327;15999
30-39;2020-12-09;positive; 13580; 1987
30-39;2020-12-09;testede;478610;12766
40-49;2020-12-09;positive; 15165; 2268
40-49;2020-12-09;testede;505319;15082
50-59;2020-12-09;positive; 14545; 2076
50-59;2020-12-09;testede;496862;15091
60-69;2020-12-09;positive;  7534;  983
60-69;2020-12-09;testede;362531;11219
70-79;2020-12-09;positive;  4609;  581
70-79;2020-12-09;testede;269307; 8501
80-89;2020-12-09;positive;  2169;  229
80-89;2020-12-09;testede;104586; 3386
90+;2020-12-09;positive;   628;   72
90+;2020-12-09;testede; 21540;  730
0-9;2020-12-16;positive;  7036; 1426
0-9;2020-12-16;testede;316403;16423
10-19;2020-12-16;positive; 21140; 4036
10-19;2020-12-16;testede;520854;18239
20-29;2020-12-16;positive; 24486; 4941
20-29;2020-12-16;testede;572137;20810
30-39;2020-12-16;positive; 16795; 3215
30-39;2020-12-16;testede;493420;14810
40-49;2020-12-16;positive; 18515; 3350
40-49;2020-12-16;testede;521414;16095
50-59;2020-12-16;positive; 17795; 3250
50-59;2020-12-16;testede;513783;16921
60-69;2020-12-16;positive;  9224; 1690
60-69;2020-12-16;testede;375052;12521
70-79;2020-12-16;positive;  5520;  911
70-79;2020-12-16;testede;278289; 8982
80-89;2020-12-16;positive;  2553;  384
80-89;2020-12-16;testede;107877; 3291
90+;2020-12-16;positive;   749;  121
90+;2020-12-16;testede; 22294;  754
0-9;2020-12-23;positive;  8956; 1920
0-9;2020-12-23;testede;337859;21456
10-19;2020-12-23;positive; 24486; 3346
10-19;2020-12-23;testede;537828;16974
20-29;2020-12-23;positive; 28611; 4125
20-29;2020-12-23;testede;595725;23588
30-39;2020-12-23;positive; 19786; 2991
30-39;2020-12-23;testede;510132;16712
40-49;2020-12-23;positive; 21824; 3309
40-49;2020-12-23;testede;540701;19287
50-59;2020-12-23;positive; 21006; 3211
50-59;2020-12-23;testede;534871;21088
60-69;2020-12-23;positive; 10974; 1750
60-69;2020-12-23;testede;390097;15045
70-79;2020-12-23;positive;  6680; 1160
70-79;2020-12-23;testede;289708;11419
80-89;2020-12-23;positive;  3095;  542
80-89;2020-12-23;testede;111992; 4115
90+;2020-12-23;positive;   923;  174
90+;2020-12-23;testede; 23219;  925
0-9;2020-12-30;positive; 10366; 1410
0-9;2020-12-30;testede;344916; 7057
10-19;2020-12-30;positive; 26722; 2236
10-19;2020-12-30;testede;544962; 7134
20-29;2020-12-30;positive; 31484; 2873
20-29;2020-12-30;testede;606950;11225
30-39;2020-12-30;positive; 22207; 2421
30-39;2020-12-30;testede;518391; 8259
40-49;2020-12-30;positive; 24247; 2423
40-49;2020-12-30;testede;549278; 8577
50-59;2020-12-30;positive; 23481; 2475
50-59;2020-12-30;testede;545209;10338
60-69;2020-12-30;positive; 12450; 1476
60-69;2020-12-30;testede;398554; 8457
70-79;2020-12-30;positive;  7717; 1037
70-79;2020-12-30;testede;296429; 6721
80-89;2020-12-30;positive;  3698;  603
80-89;2020-12-30;testede;114660; 2668
90+;2020-12-30;positive;  1107;  184
90+;2020-12-30;testede; 23840;  621
0-9;2021-01-06;positive; 11235;  869
0-9;2021-01-06;testede;348827; 3911
10-19;2021-01-06;positive; 28371; 1649
10-19;2021-01-06;testede;549856; 4894
20-29;2021-01-06;positive; 33974; 2490
20-29;2021-01-06;testede;614931; 7981
30-39;2021-01-06;positive; 23996; 1789
30-39;2021-01-06;testede;525046; 6655
40-49;2021-01-06;positive; 26009; 1762
40-49;2021-01-06;testede;556462; 7184
50-59;2021-01-06;positive; 25436; 1955
50-59;2021-01-06;testede;554431; 9222
60-69;2021-01-06;positive; 13718; 1268
60-69;2021-01-06;testede;406013; 7459
70-79;2021-01-06;positive;  8546;  829
70-79;2021-01-06;testede;302088; 5659
80-89;2021-01-06;positive;  4252;  554
80-89;2021-01-06;testede;117187; 2527
90+;2021-01-06;positive;  1300;  193
90+;2021-01-06;testede; 24506;  666
0-9;2021-01-13;positive; 12007;  772
0-9;2021-01-13;testede;353748; 4921
10-19;2021-01-13;positive; 29560; 1189
10-19;2021-01-13;testede;554035; 4179
20-29;2021-01-13;positive; 35733; 1759
20-29;2021-01-13;testede;622480; 7549
30-39;2021-01-13;positive; 25332; 1336
30-39;2021-01-13;testede;532649; 7603
40-49;2021-01-13;positive; 27432; 1423
40-49;2021-01-13;testede;564698; 8236
50-59;2021-01-13;positive; 27042; 1606
50-59;2021-01-13;testede;564807;10376
60-69;2021-01-13;positive; 14674;  956
60-69;2021-01-13;testede;414605; 8592
70-79;2021-01-13;positive;  9224;  678
70-79;2021-01-13;testede;309022; 6934
80-89;2021-01-13;positive;  4806;  554
80-89;2021-01-13;testede;119994; 2807
90+;2021-01-13;positive;  1510;  210
90+;2021-01-13;testede; 25183;  677
0-9;2021-01-20;positive; 12399;  392
0-9;2021-01-20;testede;357436; 3688
10-19;2021-01-20;positive; 30057;  497
10-19;2021-01-20;testede;556909; 2874
20-29;2021-01-20;positive; 36458;  725
20-29;2021-01-20;testede;627726; 5246
30-39;2021-01-20;positive; 26065;  733
30-39;2021-01-20;testede;539236; 6587
40-49;2021-01-20;positive; 28142;  710
40-49;2021-01-20;testede;573805; 9107
50-59;2021-01-20;positive; 27809;  767
50-59;2021-01-20;testede;577791;12984
60-69;2021-01-20;positive; 15138;  464
60-69;2021-01-20;testede;424091; 9486
70-79;2021-01-20;positive;  9526;  302
70-79;2021-01-20;testede;314716; 5694
80-89;2021-01-20;positive;  5061;  255
80-89;2021-01-20;testede;122272; 2278
90+;2021-01-20;positive;  1610;  100
90+;2021-01-20;testede; 25624;  441
0-9;2021-01-27;positive; 12790;  391
0-9;2021-01-27;testede;361587; 4151
10-19;2021-01-27;positive; 30566;  509
10-19;2021-01-27;testede;559932; 3023
20-29;2021-01-27;positive; 37256;  798
20-29;2021-01-27;testede;633607; 5881
30-39;2021-01-27;positive; 26768;  703
30-39;2021-01-27;testede;546248; 7012
40-49;2021-01-27;positive; 28879;  737
40-49;2021-01-27;testede;582807; 9002
50-59;2021-01-27;positive; 28547;  738
50-59;2021-01-27;testede;589958;12167
60-69;2021-01-27;positive; 15641;  503
60-69;2021-01-27;testede;432982; 8891
70-79;2021-01-27;positive;  9811;  285
70-79;2021-01-27;testede;320586; 5870
80-89;2021-01-27;positive;  5272;  211
80-89;2021-01-27;testede;124507; 2235
90+;2021-01-27;positive;  1678;   68
90+;2021-01-27;testede; 26134;  510
0-9;2021-02-03;positive; 13091;  301
0-9;2021-02-03;testede;365334; 3747
10-19;2021-02-03;positive; 30930;  364
10-19;2021-02-03;testede;562892; 2960
20-29;2021-02-03;positive; 37762;  506
20-29;2021-02-03;testede;639366; 5759
30-39;2021-02-03;positive; 27212;  444
30-39;2021-02-03;testede;552444; 6196
40-49;2021-02-03;positive; 29328;  449
40-49;2021-02-03;testede;589724; 6917
50-59;2021-02-03;positive; 28978;  431
50-59;2021-02-03;testede;598950; 8992
60-69;2021-02-03;positive; 15895;  254
60-69;2021-02-03;testede;439936; 6954
70-79;2021-02-03;positive; 10020;  209
70-79;2021-02-03;testede;325658; 5072
80-89;2021-02-03;positive;  5396;  124
80-89;2021-02-03;testede;126664; 2157
90+;2021-02-03;positive;  1723;   45
90+;2021-02-03;testede; 26548;  414
0-9;2021-02-10;positive; 13328;  237
0-9;2021-02-10;testede;369059; 3725
10-19;2021-02-10;positive; 31295;  365
10-19;2021-02-10;testede;565774; 2882
20-29;2021-02-10;positive; 38277;  515
20-29;2021-02-10;testede;644169; 4803
30-39;2021-02-10;positive; 27643;  431
30-39;2021-02-10;testede;557604; 5160
40-49;2021-02-10;positive; 29789;  461
40-49;2021-02-10;testede;595599; 5875
50-59;2021-02-10;positive; 29416;  438
50-59;2021-02-10;testede;605967; 7017
60-69;2021-02-10;positive; 16191;  296
60-69;2021-02-10;testede;445481; 5545
70-79;2021-02-10;positive; 10188;  168
70-79;2021-02-10;testede;329722; 4064
80-89;2021-02-10;positive;  5480;   84
80-89;2021-02-10;testede;128267; 1603
90+;2021-02-10;positive;  1758;   35
90+;2021-02-10;testede; 26895;  347
0-9;2021-02-17;positive; 13673;  345
0-9;2021-02-17;testede;373470; 4411
10-19;2021-02-17;positive; 31643;  348
10-19;2021-02-17;testede;569447; 3673
20-29;2021-02-17;positive; 38738;  461
20-29;2021-02-17;testede;648253; 4084
30-39;2021-02-17;positive; 28052;  409
30-39;2021-02-17;testede;562083; 4479
40-49;2021-02-17;positive; 30169;  380
40-49;2021-02-17;testede;600744; 5145
50-59;2021-02-17;positive; 29791;  375
50-59;2021-02-17;testede;611495; 5528
60-69;2021-02-17;positive; 16405;  214
60-69;2021-02-17;testede;450023; 4542
70-79;2021-02-17;positive; 10298;  110
70-79;2021-02-17;testede;333526; 3804
80-89;2021-02-17;positive;  5525;   45
80-89;2021-02-17;testede;129837; 1570
90+;2021-02-17;positive;  1771;   13
90+;2021-02-17;testede; 27192;  297
