Aldersgruppe;Date;Variable;Total;Weekly_diff
60-69;2020-05-06;testede; 34031;11338
70-79;2020-05-06;positive;   884;   51
70-79;2020-05-06;testede; 22157; 6766
80-89;2020-05-06;positive;   711;   45
80-89;2020-05-06;testede; 12282; 3274
90+;2020-05-06;positive;   229;   16
90+;2020-05-06;testede;  3529;  917
0-9;2020-05-13;positive;   217;   40
0-9;2020-05-13;testede; 18869; 3834
10-19;2020-05-13;positive;   454;   65
10-19;2020-05-13;testede; 19856; 4904
20-29;2020-05-13;positive;  1443;  115
20-29;2020-05-13;testede; 41625;10156
30-39;2020-05-13;positive;  1495;  107
30-39;2020-05-13;testede; 51389;11061
40-49;2020-05-13;positive;  1918;  127
40-49;2020-05-13;testede; 59998;12368
50-59;2020-05-13;positive;  1976;  126
50-59;2020-05-13;testede; 62548;13281
60-69;2020-05-13;positive;  1257;   66
60-69;2020-05-13;testede; 43691; 9660
70-79;2020-05-13;positive;   927;   43
70-79;2020-05-13;testede; 28202; 6045
80-89;2020-05-13;positive;   743;   32
80-89;2020-05-13;testede; 15208; 2926
90+;2020-05-13;positive;   237;    8
90+;2020-05-13;testede;  4326;  797
0-9;2020-05-20;positive;   248;   31
0-9;2020-05-20;testede; 22978; 4109
10-19;2020-05-20;positive;   492;   38
10-19;2020-05-20;testede; 24710; 4854
20-29;2020-05-20;positive;  1517;   74
20-29;2020-05-20;testede; 50920; 9295
30-39;2020-05-20;positive;  1589;   94
30-39;2020-05-20;testede; 61161; 9772
40-49;2020-05-20;positive;  1975;   57
40-49;2020-05-20;testede; 70240;10242
50-59;2020-05-20;positive;  2036;   60
50-59;2020-05-20;testede; 73396;10848
60-69;2020-05-20;positive;  1306;   49
60-69;2020-05-20;testede; 51778; 8087
70-79;2020-05-20;positive;   950;   23
70-79;2020-05-20;testede; 34023; 5821
80-89;2020-05-20;positive;   761;   18
80-89;2020-05-20;testede; 17918; 2710
90+;2020-05-20;positive;   243;    6
90+;2020-05-20;testede;  4927;  601
0-9;2020-05-27;positive;   273;   25
0-9;2020-05-27;testede; 26635; 3657
10-19;2020-05-27;positive;   523;   31
10-19;2020-05-27;testede; 30110; 5400
20-29;2020-05-27;positive;  1585;   68
20-29;2020-05-27;testede; 66126;15206
30-39;2020-05-27;positive;  1650;   61
30-39;2020-05-27;testede; 70024; 8863
40-49;2020-05-27;positive;  2026;   51
40-49;2020-05-27;testede; 78716; 8476
50-59;2020-05-27;positive;  2098;   62
50-59;2020-05-27;testede; 82958; 9562
60-69;2020-05-27;positive;  1329;   23
60-69;2020-05-27;testede; 59565; 7787
70-79;2020-05-27;positive;   969;   19
70-79;2020-05-27;testede; 40130; 6107
80-89;2020-05-27;positive;   779;   18
80-89;2020-05-27;testede; 20513; 2595
90+;2020-05-27;positive;   248;    5
90+;2020-05-27;testede;  5462;  535
0-9;2020-06-03;positive;   288;   15
0-9;2020-06-03;testede; 30393; 3758
10-19;2020-06-03;positive;   549;   26
10-19;2020-06-03;testede; 34758; 4648
20-29;2020-06-03;positive;  1639;   54
20-29;2020-06-03;testede; 75672; 9546
30-39;2020-06-03;positive;  1693;   43
30-39;2020-06-03;testede; 78817; 8793
40-49;2020-06-03;positive;  2061;   35
40-49;2020-06-03;testede; 87063; 8347
