"Hele landet";"I alt";"I alt";"65 år";65209;65481;65855;66194;66442;66713;66590
"Hele landet";"I alt";"I alt";"66 år";65611;65068;64595;64419;64490;64816;65176
"Hele landet";"I alt";"I alt";"67 år";63587;64380;65004;65459;64797;64269;63868
"Hele landet";"I alt";"I alt";"68 år";61861;61372;61475;62015;62791;63572;64167
"Hele landet";"I alt";"I alt";"69 år";63007;62480;61834;61028;60949;60507;60626
"Hele landet";"I alt";"I alt";"70 år";61805;62071;62128;62138;61963;61480;60877
"Hele landet";"I alt";"I alt";"71 år";64190;63073;62392;61421;60762;61049;61105
"Hele landet";"I alt";"I alt";"72 år";67036;65915;64278;63266;63024;61932;61256
"Hele landet";"I alt";"I alt";"73 år";67743;67380;67129;66690;65776;64657;62974
"Hele landet";"I alt";"I alt";"74 år";63780;64847;66101;66472;66246;65870;65693
"Hele landet";"I alt";"I alt";"75 år";58778;59773;60825;61508;62193;63235;64454
"Hele landet";"I alt";"I alt";"76 år";52778;54411;55318;56428;57095;58146;59167
"Hele landet";"I alt";"I alt";"77 år";48254;49091;49788;50215;51146;52714;53627
"Hele landet";"I alt";"I alt";"78 år";41368;42484;43877;45452;46603;47454;48134
"Hele landet";"I alt";"I alt";"79 år";38658;38274;38806;39325;39889;40936;42280
"Hele landet";"I alt";"I alt";"80 år";35232;36179;36443;36971;37008;36670;37204
"Hele landet";"I alt";"I alt";"81 år";32993;32842;33117;33514;33551;34441;34730
"Hele landet";"I alt";"I alt";"82 år";29985;30651;30810;31040;31267;31077;31369
"Hele landet";"I alt";"I alt";"83 år";26583;26874;27424;27663;28176;28824;29027
"Hele landet";"I alt";"I alt";"84 år";23170;23395;23891;24269;24708;24988;25551
"Hele landet";"I alt";"I alt";"85 år";20704;20864;21219;21669;21349;21587;22047
"Hele landet";"I alt";"I alt";"86 år";17963;18334;18604;18545;18866;18973;19350
"Hele landet";"I alt";"I alt";"87 år";15647;15653;15783;15991;16096;16444;16686
"Hele landet";"I alt";"I alt";"88 år";13431;13591;13742;13855;13885;13879;13988
"Hele landet";"I alt";"I alt";"89 år";11590;11635;11679;11873;11742;11872;12008
"Hele landet";"I alt";"I alt";"90 år";9717;9602;9702;9766;9971;10003;10010
"Hele landet";"I alt";"I alt";"91 år";8368;8383;8375;8312;8144;8101;8179
"Hele landet";"I alt";"I alt";"92 år";6701;6692;6687;6813;6919;6958;6997
"Hele landet";"I alt";"I alt";"93 år";5605;5584;5535;5523;5392;5359;5384
"Hele landet";"I alt";"I alt";"94 år";4323;4330;4404;4437;4405;4330;4308
"Hele landet";"I alt";"I alt";"95 år";3265;3268;3295;3323;3309;3340;3355
"Hele landet";"I alt";"I alt";"96 år";2322;2386;2443;2410;2480;2474;2484
"Hele landet";"I alt";"I alt";"97 år";1578;1643;1705;1718;1730;1742;1761
"Hele landet";"I alt";"I alt";"98 år";1193;1172;1132;1139;1101;1163;1218
"Hele landet";"I alt";"I alt";"99 år";822;791;794;802;806;786;764
"Hele landet";"I alt";"I alt";"100 år";490;527;547;561;531;522;526
"Hele landet";"I alt";"I alt";"101 år";290;299;281;280;298;331;339
"Hele landet";"I alt";"I alt";"102 år";134;143;166;178;173;168;172
"Hele landet";"I alt";"I alt";"103 år";108;87;84;76;81;90;97
"Hele landet";"I alt";"I alt";"104 år";54;63;64;62;64;55;42
"Hele landet";"I alt";"I alt";"105 år";30;25;20;24;27;30;34
"Hele landet";"I alt";"I alt";"106 år";18;16;19;18;14;15;10
"Hele landet";"I alt";"I alt";"107 år";8;13;8;8;8;7;7
"Hele landet";"I alt";"I alt";"108 år";0;1;2;3;4;4;3
"Hele landet";"I alt";"I alt";"109 år";1;1;1;0;0;0;0
"Hele landet";"I alt";"I alt";"110 år";0;0;0;1;1;1;1
"Hele landet";"I alt";"I alt";"111 år";1;1;0;0;0;0;0
"Hele landet";"I alt";"I alt";"112 år";0;0;1;1;0;0;0
"Hele landet";"I alt";"I alt";"113 år";0;0;0;0;0;0;0
"Hele landet";"I alt";"I alt";"114 år";0;0;0;0;0;0;0
"Hele landet";"I alt";"I alt";"115 år";0;0;0;0;0;0;0
"Hele landet";"I alt";"I alt";"116 år";0;0;0;0;0;0;0
"Hele landet";"I alt";"I alt";"117 år";0;0;0;0;0;0;0
"Hele landet";"I alt";"I alt";"118 år";0;0;0;0;0;0;0
"Hele landet";"I alt";"I alt";"119 år";0;0;0;0;0;0;0
"Hele landet";"I alt";"I alt";"120 år";0;0;0;0;0;0;0
"Hele landet";"I alt";"I alt";"121 år";0;0;0;0;0;0;0
"Hele landet";"I alt";"I alt";"122 år";0;0;0;0;0;0;0
"Hele landet";"I alt";"I alt";"123 år";0;0;0;0;0;0;0
"Hele landet";"I alt";"I alt";"124 år";0;0;0;0;0;0;0
"Hele landet";"I alt";"I alt";"125 år";0;0;0;0;0;0;0
