Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9; 157.964 (49); 167.271 (51); 325.235
10-19; 240.181 (50); 239.820 (50); 480.001
20-29; 224.638 (53); 202.189 (47); 426.827
30-39; 221.251 (53); 194.423 (47); 415.674
40-49; 216.814 (53); 189.560 (47); 406.374
50-59; 174.377 (52); 159.778 (48); 334.155
60-69; 104.097 (52);  97.128 (48); 201.225
70-79;  57.844 (50);  57.779 (50); 115.623
80-89;  21.144 (53);  18.455 (47);  39.599
90+;   6.332 (69);   2.799 (31);   9.131
I alt;1.424.660 (52);1.329.228 (48);2.753.889
