"Vaccinedato";"Regionsnavn";"Kumulerede antal færdigvacc.";"Antal borgere";"Vaccinations dækning (%)"
2021-01-04;Hovedstaden;0;1861084;0.00
2021-01-07;Hovedstaden;0;1861084;0.00
2021-01-08;Hovedstaden;1;1861084;0.00
2021-01-09;Hovedstaden;3;1861084;0.00
2021-01-12;Hovedstaden;3;1861084;0.00
2021-01-13;Hovedstaden;4;1861084;0.00
2021-01-14;Hovedstaden;5;1861084;0.00
2021-01-15;Hovedstaden;10;1861084;0.00
2021-01-16;Hovedstaden;10;1861084;0.00
2021-01-17;Hovedstaden;51;1861084;0.00
2021-01-18;Hovedstaden;188;1861084;0.01
2021-01-19;Hovedstaden;357;1861084;0.02
2021-01-20;Hovedstaden;487;1861084;0.03
2021-01-21;Hovedstaden;604;1861084;0.03
2021-01-22;Hovedstaden;684;1861084;0.04
2021-01-23;Hovedstaden;4658;1861084;0.25
2021-01-24;Hovedstaden;8509;1861084;0.46
2021-01-25;Hovedstaden;8747;1861084;0.47
2021-01-26;Hovedstaden;8882;1861084;0.48
2021-01-27;Hovedstaden;9511;1861084;0.51
2021-01-28;Hovedstaden;13253;1861084;0.71
2021-01-29;Hovedstaden;20606;1861084;1.11
2021-01-30;Hovedstaden;25074;1861084;1.35
2021-01-31;Hovedstaden;27611;1861084;1.48
2021-02-01;Hovedstaden;29495;1861084;1.58
2021-02-02;Hovedstaden;29609;1861084;1.59
2021-02-03;Hovedstaden;32535;1861084;1.75
2021-02-04;Hovedstaden;38937;1861084;2.09
2021-02-05;Hovedstaden;43755;1861084;2.35
2021-02-06;Hovedstaden;46734;1861084;2.51
2021-02-07;Hovedstaden;47304;1861084;2.54
2021-02-08;Hovedstaden;48436;1861084;2.60
2021-02-09;Hovedstaden;48477;1861084;2.60
2021-02-10;Hovedstaden;49414;1861084;2.66
2021-02-11;Hovedstaden;49655;1861084;2.67
2021-02-12;Hovedstaden;53807;1861084;2.89
2021-02-13;Hovedstaden;53817;1861084;2.89
2021-02-14;Hovedstaden;53829;1861084;2.89
2021-02-15;Hovedstaden;55202;1861084;2.97
2021-02-16;Hovedstaden;55607;1861084;2.99
2021-02-17;Hovedstaden;55639;1861084;2.99
2021-02-18;Hovedstaden;55716;1861084;2.99
2021-02-19;Hovedstaden;55762;1861084;3.00
2021-02-20;Hovedstaden;55863;1861084;3.00
2021-02-21;Hovedstaden;55968;1861084;3.01
2021-02-22;Hovedstaden;56113;1861084;3.02
2021-02-23;Hovedstaden;56270;1861084;3.02
2021-02-24;Hovedstaden;56344;1861084;3.03
2021-02-25;Hovedstaden;56379;1861084;3.03
2021-02-26;Hovedstaden;56444;1861084;3.03
2021-02-27;Hovedstaden;57521;1861084;3.09
2021-02-28;Hovedstaden;58634;1861084;3.15
2021-03-01;Hovedstaden;58857;1861084;3.16
2021-03-02;Hovedstaden;59112;1861084;3.18
2021-03-03;Hovedstaden;59155;1861084;3.18
2021-03-04;Hovedstaden;59352;1861084;3.19
2021-03-05;Hovedstaden;59621;1861084;3.20
2021-03-06;Hovedstaden;59717;1861084;3.21
2021-03-07;Hovedstaden;60036;1861084;3.23
2021-03-08;Hovedstaden;60275;1861084;3.24
2021-03-09;Hovedstaden;61704;1861084;3.32
2021-03-10;Hovedstaden;63382;1861084;3.41
2021-03-11;Hovedstaden;67707;1861084;3.64
2021-03-12;Hovedstaden;72500;1861084;3.90
2021-03-13;Hovedstaden;72587;1861084;3.90
2021-03-14;Hovedstaden;75802;1861084;4.07
2021-03-15;Hovedstaden;78540;1861084;4.22
2021-03-16;Hovedstaden;82046;1861084;4.41
2021-03-17;Hovedstaden;86424;1861084;4.64
2021-03-18;Hovedstaden;90787;1861084;4.88
2021-03-19;Hovedstaden;91946;1861084;4.94
2021-03-20;Hovedstaden;92033;1861084;4.95
2021-03-21;Hovedstaden;94097;1861084;5.06
2021-03-22;Hovedstaden;94178;1861084;5.06
2021-03-23;Hovedstaden;94290;1861084;5.07
2021-03-24;Hovedstaden;102820;1861084;5.52
2021-03-25;Hovedstaden;107313;1861084;5.77
2021-03-26;Hovedstaden;109986;1861084;5.91
2021-03-27;Hovedstaden;110027;1861084;5.91
2021-03-28;Hovedstaden;110065;1861084;5.91
2021-03-29;Hovedstaden;110627;1861084;5.94
2021-03-30;Hovedstaden;110906;1861084;5.96
2021-03-31;Hovedstaden;114677;1861084;6.16
2021-04-01;Hovedstaden;119352;1861084;6.41
2021-04-02;Hovedstaden;123054;1861084;6.61
2021-04-03;Hovedstaden;123146;1861084;6.62
2021-04-04;Hovedstaden;123194;1861084;6.62
2021-04-05;Hovedstaden;123235;1861084;6.62
2021-04-06;Hovedstaden;123435;1861084;6.63
2021-04-07;Hovedstaden;124015;1861084;6.66
2021-04-08;Hovedstaden;125683;1861084;6.75
2021-04-09;Hovedstaden;129065;1861084;6.93
2021-04-10;Hovedstaden;130361;1861084;7.00
2021-04-11;Hovedstaden;130500;1861084;7.01
2021-04-12;Hovedstaden;137348;1861084;7.38
2021-04-13;Hovedstaden;138425;1861084;7.44
2021-04-14;Hovedstaden;142969;1861084;7.68
2021-04-15;Hovedstaden;144526;1861084;7.77
2021-04-16;Hovedstaden;147542;1861084;7.93
2021-04-17;Hovedstaden;147748;1861084;7.94
2021-04-18;Hovedstaden;147929;1861084;7.95
2021-04-19;Hovedstaden;149998;1861084;8.06
2021-04-20;Hovedstaden;155000;1861084;8.33
2021-04-21;Hovedstaden;158753;1861084;8.53
2021-04-22;Hovedstaden;158898;1861084;8.54
2021-04-23;Hovedstaden;165841;1861084;8.91
2021-04-24;Hovedstaden;167828;1861084;9.02
2021-04-25;Hovedstaden;168150;1861084;9.04
2021-04-26;Hovedstaden;171306;1861084;9.20
