"dato";"Regionsnavn";"sex";"Paabegyndt vacc. idag";"Faerdigvacc. idag";"Paabegyndt vacc. igaar";"Faerdigvacc. igaar";"Paabegyndt vacc. difference";"Faerdigvaccineret difference"
2021-09-06;Hovedstaden;K;705721;675407;705134;673961;587;1446
2021-09-06;Hovedstaden;M;663199;635887;662741;634531;458;1356
2021-09-06;Midtjylland;K;516971;497492;516938;497262;33;230
2021-09-06;Midtjylland;M;505668;486650;505631;486449;37;201
2021-09-06;Nordjylland;K;229526;221925;229295;221547;231;378
2021-09-06;Nordjylland;M;228713;220524;228499;220123;214;401
2021-09-06;Sjælland;K;324707;314358;324602;313864;105;494
2021-09-06;Sjælland;M;313374;303326;313259;302850;115;476
2021-09-06;Syddanmark;K;472645;454997;472482;454501;163;496
2021-09-06;Syddanmark;M;460759;442546;460592;442029;167;517
