"Vaccinenavn";"Regionsnavn";"Antal første vacc.";"Antal faerdigvacc."
AstraZeneca Covid-19 vaccine;Nordjylland;16966;37
AstraZeneca Covid-19 vaccine;Midtjylland;33918;120
AstraZeneca Covid-19 vaccine;Syddanmark;30686;379
AstraZeneca Covid-19 vaccine;Hovedstaden;45940;695
AstraZeneca Covid-19 vaccine;Sjælland;23985;418
Janssen COVID-19 vaccine;Nordjylland;3652;3652
Janssen COVID-19 vaccine;Midtjylland;9884;9884
Janssen COVID-19 vaccine;Syddanmark;7547;7547
Janssen COVID-19 vaccine;Hovedstaden;22569;22569
Janssen COVID-19 vaccine;Sjælland;2789;2789
Moderna Covid-19 Vaccine;Nordjylland;69476;66071
Moderna Covid-19 Vaccine;Midtjylland;119833;109999
Moderna Covid-19 Vaccine;Syddanmark;129370;149126
Moderna Covid-19 Vaccine;Hovedstaden;144629;130764
Moderna Covid-19 Vaccine;Sjælland;80935;98844
Pfizer BioNTech Covid-19 vacc;Nordjylland;368145;372689
Pfizer BioNTech Covid-19 vacc;Midtjylland;859004;864139
Pfizer BioNTech Covid-19 vacc;Syddanmark;765801;740491
Pfizer BioNTech Covid-19 vacc;Hovedstaden;1155782;1157266
Pfizer BioNTech Covid-19 vacc;Sjælland;530372;515633
