"Regionsnavn";"Antal første vacc. personer";"Antal faerdigvacc. personer";"Antal borgere"
Nordjylland;458239;442449;591284
Midtjylland;1022639;984142;1338458
Syddanmark;933404;897543;1225744
Hovedstaden;1368920;1311294;1861084
Sjælland;638081;617684;842172
