"Regionsnavn";"Antal første vacc.";"Antal faerdigvacc.";"Vacc.dækning foerste vacc. (%)";"Vacc.dækning faerdigvacc. (%)";"Antal borgere"
Nordjylland;458239;442449;77.5;74.8;591284
Midtjylland;1022639;984142;76.4;73.5;1338458
Syddanmark;933404;897543;76.1;73.2;1225744
Hovedstaden;1368920;1311294;73.6;70.5;1861084
Sjælland;638081;617684;75.8;73.3;842172
