"Kommunenavn";"Antal første vacc. personer";"Antal faerdigvacc. personer";"Antal borgere"
København;462359;437749;641005
Frederiksberg;79844;76466;103271
Ballerup;35792;34502;49090
Brøndby;23586;22517;35484
Dragør;11132;10739;14600
Gentofte;56509;54450;74311
Gladsaxe;50181;48204;68947
Glostrup;16842;16182;23552
Herlev;20673;19819;28805
Albertslund;18506;17589;27347
Hvidovre;37726;36215;53188
Høje-Taastrup;35550;33983;52572
Lyngby-Taarbæk;43980;42418;57221
Rødovre;29032;27851;41194
Ishøj;14414;13655;23009
Tårnby;31153;29908;42637
Vallensbæk;11350;10910;16506
Furesø;30850;29871;41321
Allerød;20127;19582;25886
Fredensborg;30618;29636;41076
Helsingør;47786;46140;63118
Hillerød;39863;38690;52456
Hørsholm;19557;19001;24772
Rudersdal;44322;42850;57281
Egedal;33664;32550;44149
Frederikssund;35713;34478;45807
Greve;36974;35696;50653
Køge;46218;44709;61632
Frederiksværk-Hundested;24243;23555;31510
Roskilde;68592;66043;89106
Solrød;17612;17071;23560
Gribskov;31874;30982;41247
Odsherred;25933;25281;32982
Holbæk;55583;53682;72679
Faxe;27899;27142;37049
Kalundborg;36801;35634;48399
Ringsted;25660;24840;35129
Slagelse;59356;57252;79577
Stevns;17861;17409;23286
Sorø;23001;22292;29997
Lejre;21733;21068;28564
Lolland;30496;29627;40239
Næstved;63304;61377;83615
Guldborgsund;46226;44777;60363
Vordingborg;34832;33784;45342
Bornholm;31674;30802;39722
Middelfart;30865;30042;39463
Assens;32111;30668;40864
Faaborg-Midtfyn;40343;38972;51821
Kerteminde;18914;18290;23977
Nyborg;25231;24246;32124
Odense;157382;150359;205390
Svendborg;46024;44528;59056
Nordfyns;22764;22028;29651
Langeland;9915;9669;12324
Ærø;5003;4919;6019
Haderslev;41497;39609;55301
Billund;20169;19516;26570
Sønderborg;56679;54783;73574
Tønder;27618;26298;36925
Esbjerg;87433;83874;115384
Fanø;2761;2683;3443
Varde;37631;36448;49670
Vejen;31530;30364;42698
Aabenraa;43181;41782;58478
Fredericia;39030;37817;51529
Horsens;69014;66346;93403
Kolding;69268;66366;93303
Vejle;88055;84282;118180
Herning;67728;65069;89128
Holstebro;44870;43139;58533
Lemvig;15374;14903;19387
Struer;16384;15820;20791
Syddjurs;34069;32896;43521
Norddjurs;29044;28218;37048
Favrskov;37230;36127;48681
Odder;18315;17802;23173
Randers;75318;72599;98689
Silkeborg;72943;70210;96681
Samsø;3044;2969;3725
Skanderborg;48384;46452;63962
Århus;270984;258583;354756
Ikast-Brande;31073;29898;41873
Ringkøbing-Skjern;42854;41308;56136
Hedensted;36013;35012;47067
Morsø;15727;15328;20019
Skive;35532;34595;45084
Thisted;33439;32507;43110
Viborg;74466;72196;96820
Brønderslev-Dronninglund;27657;26665;36180
Frederikshavn;46477;45069;58911
Vesthimmerlands;27668;26845;36336
Læsø;1465;1429;1794
Rebild;23057;22346;30629
Mariagerfjord;32393;31384;41546
Jammerbugt;29401;28498;38115
Ålborg;170908;163994;220801
Hjørring;50047;48384;63843
