"Vaccinedato","geo","Antal færdigvacc. personer","Antal borgere","Færdigvacc. (%)","Kumuleret antal færdigvacc."
2021-01-15,Nationalt,5,5841645,0.00,5
2021-01-16,Nationalt,7,5841645,0.00,12
2021-01-17,Nationalt,712,5841645,0.01,724
2021-01-18,Nationalt,2129,5841645,0.05,2853
2021-01-19,Nationalt,2088,5841645,0.08,4941
2021-01-20,Nationalt,1884,5841645,0.12,6825
2021-01-21,Nationalt,2353,5841645,0.16,9178
2021-01-22,Nationalt,5649,5841645,0.25,14827
2021-01-23,Nationalt,7183,5841645,0.38,22010
2021-01-24,Nationalt,6538,5841645,0.49,28548
2021-01-25,Nationalt,2452,5841645,0.53,31000
2021-01-26,Nationalt,1746,5841645,0.56,32746
2021-01-27,Nationalt,4359,5841645,0.64,37105
2021-01-28,Nationalt,8116,5841645,0.77,45221
2021-01-29,Nationalt,18327,5841645,1.09,63548
2021-01-30,Nationalt,12981,5841645,1.31,76529
2021-01-31,Nationalt,12304,5841645,1.52,88833
2021-02-01,Nationalt,7874,5841645,1.66,96707
2021-02-02,Nationalt,3024,5841645,1.71,99731
2021-02-03,Nationalt,6182,5841645,1.81,105913
2021-02-04,Nationalt,10924,5841645,2.00,116837
2021-02-05,Nationalt,13482,5841645,2.23,130319
2021-02-06,Nationalt,6711,5841645,2.35,137030
2021-02-07,Nationalt,3642,5841645,2.41,140672
2021-02-08,Nationalt,7056,5841645,2.53,147728
2021-02-09,Nationalt,4915,5841645,2.61,152643
2021-02-10,Nationalt,3918,5841645,2.68,156561
2021-02-11,Nationalt,2452,5841645,2.72,159013
2021-02-12,Nationalt,7607,5841645,2.85,166620
2021-02-13,Nationalt,980,5841645,2.87,167600
2021-02-14,Nationalt,632,5841645,2.88,168232
2021-02-15,Nationalt,3136,5841645,2.93,171368
2021-02-16,Nationalt,1326,5841645,2.96,172694
2021-02-17,Nationalt,430,5841645,2.96,173124
2021-02-18,Nationalt,301,5841645,2.97,173425
2021-02-19,Nationalt,967,5841645,2.99,174392
2021-02-20,Nationalt,577,5841645,3.00,174969
2021-02-21,Nationalt,351,5841645,3.00,175320
2021-02-22,Nationalt,1083,5841645,3.02,176403
2021-02-23,Nationalt,1951,5841645,3.05,178354
2021-02-24,Nationalt,1970,5841645,3.09,180324
2021-02-25,Nationalt,632,5841645,3.10,180956
2021-02-26,Nationalt,992,5841645,3.11,181948
2021-02-27,Nationalt,1465,5841645,3.14,183413
2021-02-28,Nationalt,1406,5841645,3.16,184819
2021-03-01,Nationalt,1053,5841645,3.18,185872
2021-03-02,Nationalt,1296,5841645,3.20,187168
2021-03-03,Nationalt,1019,5841645,3.22,188187
2021-03-04,Nationalt,1814,5841645,3.25,190001
2021-03-05,Nationalt,5200,5841645,3.34,195201
2021-03-06,Nationalt,3983,5841645,3.41,199184
2021-03-07,Nationalt,4332,5841645,3.48,203516
