"Regionsnavn","Antal første vacc. personer","Antal faerdigvacc. personer","Antal borgere"
Nordjylland,58985,21360,590405
Midtjylland,116451,47200,1332788
Syddanmark,116657,42123,1223718
Hovedstaden,168747,61313,1855623
Sjælland,78870,31520,839111
