"Kommunenavn","Antal første vacc. personer","Antal faerdigvacc. personer","Antal borgere"
København,45523,17257,638641
Frederiksberg,9241,3551,103398
Ballerup,4703,1418,49116
Brøndby,3473,1051,35363
Dragør,1383,458,14563
Gentofte,7355,2848,74378
Gladsaxe,6931,2561,69199
Glostrup,2672,1141,23444
Herlev,3104,1151,28821
Albertslund,2577,1036,27243
Hvidovre,5650,2148,53340
Høje-Taastrup,4760,1993,52119
Lyngby-Taarbæk,5767,1974,56832
Rødovre,4039,1224,41177
Ishøj,1855,677,23054
Tårnby,4147,1411,42728
Vallensbæk,1651,573,16541
Furesø,4311,1506,40950
Allerød,2689,849,25863
Fredensborg,4173,1587,40942
Helsingør,6854,2358,63045
Hillerød,5917,2293,51710
Hørsholm,2815,1009,24847
Rudersdal,6155,2025,56956
Egedal,3786,1227,43707
Frederikssund,4876,1650,45541
Greve,4374,1620,50571
Køge,5486,2116,61533
Frederiksværk-Hundested,3406,1136,31407
Roskilde,8676,3747,88782
Solrød,2014,823,23454
Gribskov,4509,1609,40981
Odsherred,3356,1210,32898
Holbæk,6874,2761,71979
Faxe,3240,1238,36750
Kalundborg,4127,1593,48408
Ringsted,2823,1192,34896
Slagelse,7638,3197,79220
Stevns,2146,706,23155
Sorø,2902,1146,29972
Lejre,2681,1069,28275
Lolland,3833,1580,40440
Næstved,8005,3549,83277
Guldborgsund,6506,2394,60300
Vordingborg,4189,1579,45201
Bornholm,4425,1592,39717
Middelfart,4331,1567,39237
Assens,3779,1209,40853
Faaborg-Midtfyn,4990,1646,51632
Kerteminde,2286,766,23834
Nyborg,3137,959,31946
Odense,18923,6854,205141
Svendborg,6902,3146,58718
Nordfyns,2751,840,29529
Langeland,1447,565,12358
Ærø,738,306,5982
Haderslev,4834,1836,55328
Billund,2290,766,26521
Sønderborg,6728,2454,73792
Tønder,3364,1250,37022
Esbjerg,12211,4079,115554
Fanø,373,125,3446
Varde,5113,1492,49642
Vejen,4273,1419,42751
Aabenraa,4525,1718,58549
Fredericia,5101,1966,51368
Horsens,7648,2838,92538
Kolding,8196,3069,93103
Vejle,10365,4091,117412
Herning,8086,3438,89276
Holstebro,5494,2075,58701
Lemvig,1792,915,19579
Struer,2051,945,20810
Syddjurs,3950,1728,43245
Norddjurs,3631,1646,36971
Favrskov,4097,1710,48429
Odder,2302,1076,22990
Randers,9288,3538,98315
Silkeborg,8192,3303,95861
Samsø,489,446,3680
Skanderborg,4952,2145,63437
Århus,28603,10268,352425
Ikast-Brande,3177,1566,41529
Ringkøbing-Skjern,4914,2083,56135
Hedensted,3937,1789,46820
Morsø,2476,1121,20061
Skive,4368,1880,45417
Thisted,4214,1409,43102
Viborg,9480,3811,96630
Brønderslev-Dronninglund,3638,1446,36123
Frederikshavn,5874,2377,58978
Vesthimmerlands,3761,1204,36344
Læsø,287,118,1772
Rebild,2766,1055,30487
Mariagerfjord,4088,1418,41580
Jammerbugt,3661,1146,38127
Ålborg,21100,7795,219729
Hjørring,7120,2271,64102
